stable_key	source_file	source_line	source_function	resolved_function	reuse_disposition	retail_status	retail_classification	retail_va_or_empty	retail_name_or_empty	generation32_grade	generation32_contract_state	evidence	delta_summary	falsifier
"[""BattleEngine.h"",108,""AttachEquipment"",""AttachEquipment(CEquipment* eqi)""]"	BattleEngine.h	108	AttachEquipment	CBattleEngine::AttachEquipment	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::AttachEquipment`.
"[""BattleEngine.h"",110,""GetUnitOverCrossHair"",""* GetUnitOverCrossHair()""]"	BattleEngine.h	110	GetUnitOverCrossHair	CBattleEngine::GetUnitOverCrossHair	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetUnitOverCrossHair`.
"[""BattleEngine.h"",111,""GetUnitOverCrossHairRegardlessOfRange"",""* GetUnitOverCrossHairRegardlessOfRange()""]"	BattleEngine.h	111	GetUnitOverCrossHairRegardlessOfRange	CBattleEngine::GetUnitOverCrossHairRegardlessOfRange	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetUnitOverCrossHairRegardlessOfRange`.
"[""BattleEngine.h"",117,""GetAutoAimTarget"",""* GetAutoAimTarget()""]"	BattleEngine.h	117	GetAutoAimTarget	CBattleEngine::GetAutoAimTarget	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetAutoAimTarget`.
"[""BattleEngine.h"",120,""TrackingActive"",""TrackingActive()""]"	BattleEngine.h	120	TrackingActive	CBattleEngine::TrackingActive	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::TrackingActive`.
"[""BattleEngine.h"",125,""GetMaxVelocity"",""GetMaxVelocity()""]"	BattleEngine.h	125	GetMaxVelocity	CBattleEngine::GetMaxVelocity	EXTENDED	SOURCE_AGREES	SOURCE_EXACT	0x00405ef0	CBattleEngine__VFunc_15_00405ef0	C1_CANDIDATE_PARTIAL	OPEN_EXECUTED	reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv	Returns the source-declared 35.0f constant	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.
"[""BattleEngine.h"",127,""SetThingType"",""SetThingType(ULONG t)""]"	BattleEngine.h	127	SetThingType	CBattleEngine::SetThingType	EXTENDED	SOURCE_AGREES	SOURCE_EXACT	0x00405f00	CBattleEngine__VFunc_38_00405f00	C1_CANDIDATE_PARTIAL	OPEN_EXECUTED	reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv	OR mask and superclass tail call match the inline source override	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.
"[""BattleEngine.h"",161,""GetLockList"",""& GetLockList()""]"	BattleEngine.h	161	GetLockList	CBattleEngine::GetLockList	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetLockList`.
"[""BattleEngine.h"",162,""GetFiredLockList"",""& GetFiredLockList()""]"	BattleEngine.h	162	GetFiredLockList	CBattleEngine::GetFiredLockList	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetFiredLockList`.
"[""BattleEngine.h"",170,""GetState"",""GetState()""]"	BattleEngine.h	170	GetState	CBattleEngine::GetState	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetState`.
"[""BattleEngine.h"",171,""GetYawVel"",""& GetYawVel()""]"	BattleEngine.h	171	GetYawVel	CBattleEngine::GetYawVel	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetYawVel`.
"[""BattleEngine.h"",172,""GetRollVel"",""&    GetRollVel()""]"	BattleEngine.h	172	GetRollVel	CBattleEngine::GetRollVel	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetRollVel`.
"[""BattleEngine.h"",173,""GetPitchVel"",""&    GetPitchVel()""]"	BattleEngine.h	173	GetPitchVel	CBattleEngine::GetPitchVel	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetPitchVel`.
"[""BattleEngine.h"",175,""GetLastDamageTime"",""&    GetLastDamageTime()""]"	BattleEngine.h	175	GetLastDamageTime	CBattleEngine::GetLastDamageTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetLastDamageTime`.
"[""BattleEngine.h"",181,""GetIsPoweredUp"",""GetIsPoweredUp()""]"	BattleEngine.h	181	GetIsPoweredUp	CBattleEngine::GetIsPoweredUp	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetIsPoweredUp`.
"[""BattleEngine.h"",183,""GetCockpit"",""* GetCockpit()""]"	BattleEngine.h	183	GetCockpit	CBattleEngine::GetCockpit	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetCockpit`.
"[""BattleEngine.h"",184,""GetWalkerPart"",""* GetWalkerPart()""]"	BattleEngine.h	184	GetWalkerPart	CBattleEngine::GetWalkerPart	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetWalkerPart`.
"[""BattleEngine.h"",185,""GetJetPart"",""* GetJetPart()""]"	BattleEngine.h	185	GetJetPart	CBattleEngine::GetJetPart	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetJetPart`.
"[""BattleEngine.h"",187,""BounceFactor"",""BounceFactor()""]"	BattleEngine.h	187	BounceFactor	CBattleEngine::BounceFactor	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::BounceFactor`.
"[""BattleEngine.h"",193,""GetTransformStartTime"",""GetTransformStartTime()""]"	BattleEngine.h	193	GetTransformStartTime	CBattleEngine::GetTransformStartTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetTransformStartTime`.
"[""BattleEngine.h"",195,""GetRadarWarningReceiver"",""*GetRadarWarningReceiver()""]"	BattleEngine.h	195	GetRadarWarningReceiver	CBattleEngine::GetRadarWarningReceiver	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetRadarWarningReceiver`.
"[""BattleEngine.h"",198,""ResetTarget"",""ResetTarget()""]"	BattleEngine.h	198	ResetTarget	CBattleEngine::ResetTarget	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::ResetTarget`.
"[""BattleEngine.h"",210,""GetWeaponOverheatedTime"",""GetWeaponOverheatedTime()""]"	BattleEngine.h	210	GetWeaponOverheatedTime	CBattleEngine::GetWeaponOverheatedTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetWeaponOverheatedTime`.
"[""BattleEngine.h"",226,""GetConfiguration"",""*GetConfiguration()""]"	BattleEngine.h	226	GetConfiguration	CBattleEngine::GetConfiguration	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetConfiguration`.
"[""BattleEngine.h"",227,""GetConfigurationName"",""* GetConfigurationName()""]"	BattleEngine.h	227	GetConfigurationName	CBattleEngine::GetConfigurationName	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetConfigurationName`.
"[""BattleEngine.h"",229,""SetPlayer"",""SetPlayer(class CPlayer *player)""]"	BattleEngine.h	229	SetPlayer	CBattleEngine::SetPlayer	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::SetPlayer`.
"[""BattleEngine.h"",234,""SetInfinateEnergy"",""SetInfinateEnergy(BOOL val)""]"	BattleEngine.h	234	SetInfinateEnergy	CBattleEngine::SetInfinateEnergy	EXTENDED	SOURCE_AGREES	SOURCE_EXACT	0x00405f20	CBattleEngine__VFunc_85_00405f20	C1_CANDIDATE_PARTIAL	OPEN_DARK	reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv	Preserves the source spelling; stores the flag and refills energy from configuration	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.
"[""BattleEngine.h"",238,""GetSoundMaterial"",""GetSoundMaterial()""]"	BattleEngine.h	238	GetSoundMaterial	CBattleEngine::GetSoundMaterial	EXTENDED	SOURCE_AGREES	SOURCE_EXACT	0x00405f40	CBattleEngine__VFunc_43_00405f40	C1_CANDIDATE_PARTIAL	OPEN_EXECUTED	reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv	Returns exact SM_BATTLE_ENGINE value 0x68	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.
"[""BattleEngine.h"",250,""IsAThreat"",""IsAThreat()""]"	BattleEngine.h	250	IsAThreat	CBattleEngine::IsAThreat	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::IsAThreat`.
"[""BattleEngine.h"",252,""GetPlayer"",""*GetPlayer()""]"	BattleEngine.h	252	GetPlayer	CBattleEngine::GetPlayer	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetPlayer`.
"[""BattleEngine.h"",257,""GetChangedWeaponTime"",""GetChangedWeaponTime()""]"	BattleEngine.h	257	GetChangedWeaponTime	CBattleEngine::GetChangedWeaponTime	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetChangedWeaponTime`.
