stable_key	stable_key_sha256	source_file	source_line	source_function	signature	resolved_owner	resolved_function	owner_resolution_evidence	reuse_disposition	extension_summary	predecessor_paths	source_target_branch	source_algorithm	source_fields	source_constants	source_side_effects	source_calls	retail_classification	retail_delta_status	retail_va_or_empty	retail_name_or_empty	retail_semantic_status_or_empty	retail_evidence	retail_evidence_boundary	retail_falsifier	closure_receipt_sources	closure_receipt_sha256	generation32_grade	generation32_contract_state	generation32_evidence	generation32_ready_sha256	current_name_candidates	original_partition_readiness	rebuild_disposition
"[""BattleEngine.h"",314,""PlayIncommingMissileSound"",""PlayIncommingMissileSound()""]"	86f7a20e7a7c4e8261728d8932e1169af50d4985a02fca33cf0c027641c95b63	BattleEngine.h	314	PlayIncommingMissileSound	PlayIncommingMissileSound()	CBattleEngine	CBattleEngine::PlayIncommingMissileSound	BattleEngine.h:72 DECLARE_THING_CLASS(CBattleEngine, CUnit), closed at line 485	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngine.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Updates `mPlayIncomingMissileSound` from its arguments/constants.	mPlayIncomingMissileSound	TRUE	writes mPlayIncomingMissileSound		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::PlayIncommingMissileSound`.								AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngine.h"",324,""GetDamageFlashList"",""* GetDamageFlashList()""]"	3e4f16feaaacc94b8e7e7350c434697faa22e2a8d930b60c8e1221026c5375fb	BattleEngine.h	324	GetDamageFlashList	* GetDamageFlashList()	CBattleEngine	CBattleEngine::GetDamageFlashList	BattleEngine.h:72 DECLARE_THING_CLASS(CBattleEngine, CUnit), closed at line 485	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngine.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `&mDamageFlashes`.	mDamageFlashes		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetDamageFlashList`.								AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineConfigurations.h"",26,""UBattleEngineConfigurations::CountConfigurations"",""CountConfigurations()""]"	1479355b8276b43cc5e40d8e056d7adc3df63d3016339814d0add373a49cc32c	BattleEngineConfigurations.h	26	UBattleEngineConfigurations::CountConfigurations	CountConfigurations()	UBattleEngineConfigurations	UBattleEngineConfigurations::CountConfigurations	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineConfigurations.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `sConfigurations`.	sConfigurations		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `UBattleEngineConfigurations::CountConfigurations`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineDataManager.h"",270,""UBattleEngineDataManager::CountConfigurations"",""CountConfigurations()""]"	5e61b75db35cad86e63f7e71c1d5677114847ebf9a027a336b159d56018e0c03	BattleEngineDataManager.h	270	UBattleEngineDataManager::CountConfigurations	CountConfigurations()	UBattleEngineDataManager	UBattleEngineDataManager::CountConfigurations	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineDataManager.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `sData.Size()`.	sData		none (read-only or no-op)	Size	NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `UBattleEngineDataManager::CountConfigurations`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineJetPart.h"",37,""CBattleEngineJetPart::GetFlightModel"",""GetFlightModel()""]"	7b1fb6daccf102bdc96ac5537340d67af4eeefe716efd10662dc877a3d96ef27	BattleEngineJetPart.h	37	CBattleEngineJetPart::GetFlightModel	GetFlightModel()	CBattleEngineJetPart	CBattleEngineJetPart::GetFlightModel	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineJetPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mFlightModel`.	mFlightModel		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::GetFlightModel`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineJetPart.h"",38,""CBattleEngineJetPart::SetFlightModel"",""SetFlightModel(EJetFlightModel nm)""]"	f99206eb46cbac0cc5700ba3cd23d1729ad57059850fa5bb7253cadf8cfa13e8	BattleEngineJetPart.h	38	CBattleEngineJetPart::SetFlightModel	SetFlightModel(EJetFlightModel nm)	CBattleEngineJetPart	CBattleEngineJetPart::SetFlightModel	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineJetPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Updates `mFlightModel` from its arguments/constants.	mFlightModel		writes mFlightModel		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::SetFlightModel`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineJetPart.h"",77,""CBattleEngineJetPart::DoingLoop"",""DoingLoop()""]"	aa7f4c81438bbf6ff8d8d6dbeef8f7af29e03daaf3f2e21689f0cfc5f33eda5c	BattleEngineJetPart.h	77	CBattleEngineJetPart::DoingLoop	DoingLoop()	CBattleEngineJetPart	CBattleEngineJetPart::DoingLoop	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineJetPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mDoingLoop`.	mDoingLoop		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::DoingLoop`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineJetPart.h"",78,""CBattleEngineJetPart::DoingRoll"",""DoingRoll()""]"	634974cb9eea9969d46b9eb29be293fd6d99ac722a2c2654c47fb5f2d520b3e6	BattleEngineJetPart.h	78	CBattleEngineJetPart::DoingRoll	DoingRoll()	CBattleEngineJetPart	CBattleEngineJetPart::DoingRoll	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineJetPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `(mDoingBarrelCount>0) ? true : false`.	mDoingBarrelCount	0	none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::DoingRoll`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineJetPart.h"",80,""CBattleEngineJetPart::GetThrusterValue"",""GetThrusterValue()""]"	46fdad523379ed3c87e548f26b42588c552f9ecc5f21358e93c881d4e5cda69e	BattleEngineJetPart.h	80	CBattleEngineJetPart::GetThrusterValue	GetThrusterValue()	CBattleEngineJetPart	CBattleEngineJetPart::GetThrusterValue	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineJetPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mThrusterValue`.	mThrusterValue		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineJetPart::GetThrusterValue`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineWalkerPart.h"",37,""CBattleEngineWalkerPart::GetCurrentWalkCycle"",""GetCurrentWalkCycle()""]"	ceba6283249ee27e4c74ab11c339d969388739622bb8be7c6028ff5762c4b61b	BattleEngineWalkerPart.h	37	CBattleEngineWalkerPart::GetCurrentWalkCycle	GetCurrentWalkCycle()	CBattleEngineWalkerPart	CBattleEngineWalkerPart::GetCurrentWalkCycle	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineWalkerPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mWalkCycle`.	mWalkCycle		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetCurrentWalkCycle`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineWalkerPart.h"",38,""CBattleEngineWalkerPart::GetOldWalkCycle"",""GetOldWalkCycle()""]"	c11ff9aa73b1c76632621807d3306ed1a34d135e19aa695024fa10f67e440f6f	BattleEngineWalkerPart.h	38	CBattleEngineWalkerPart::GetOldWalkCycle	GetOldWalkCycle()	CBattleEngineWalkerPart	CBattleEngineWalkerPart::GetOldWalkCycle	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineWalkerPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mOldWalkCycle`.	mOldWalkCycle		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetOldWalkCycle`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineWalkerPart.h"",48,""CBattleEngineWalkerPart::GetPrimaryWeapon"",""* GetPrimaryWeapon()""]"	24d005d5584be8f8ed77b7fe0f7799d25dc05384a7835afa4227e8575f6d3ee7	BattleEngineWalkerPart.h	48	CBattleEngineWalkerPart::GetPrimaryWeapon	* GetPrimaryWeapon()	CBattleEngineWalkerPart	CBattleEngineWalkerPart::GetPrimaryWeapon	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineWalkerPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mPrimaryWeapon`.	mPrimaryWeapon		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetPrimaryWeapon`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineWalkerPart.h"",49,""CBattleEngineWalkerPart::GetAugWeapon"",""* GetAugWeapon()""]"	4d4066d535e4a54719b4f81edb86f98f5983d77a4ebec654e24d0125a21a2400	BattleEngineWalkerPart.h	49	CBattleEngineWalkerPart::GetAugWeapon	* GetAugWeapon()	CBattleEngineWalkerPart	CBattleEngineWalkerPart::GetAugWeapon	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineWalkerPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mAugWeapon`.	mAugWeapon		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetAugWeapon`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
"[""BattleEngineWalkerPart.h"",74,""CBattleEngineWalkerPart::GetDashCount"",""GetDashCount()""]"	54eb72e50f452cd1e7663a6f778b06f4a971cd6c083fc2637e47f33845511578	BattleEngineWalkerPart.h	74	CBattleEngineWalkerPart::GetDashCount	GetDashCount()	CBattleEngineWalkerPart	CBattleEngineWalkerPart::GetDashCount	AST-qualified definition	REUSED	Reused the sealed partition readiness/evidence and added source-algorithm plus current-rebuild disposition without new retail measurement.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/BattleEngineWalkerPart.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mDoingDashCount`.	mDoingDashCount		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngineWalkerPart::GetDashCount`.								SOURCE_ONLY_BOUNDED_NO_MATCH	PARTIAL: RetailBattleEngine* helpers and Simulation carry bounded movement, gravity, interpolation, damage, cloak, augment, weapon, and configuration laws; this exact source row is not assumed carried.
