source_file	source_line	function	signature	source_owner	target_branch	source_anchor	source_text_sha256	source_algorithm	source_fields	source_constants	source_side_effects	retail_classification	retail_va_or_empty	retail_name_candidates	retail_evidence	retail_evidence_boundary	retail_falsifier	rebuild_disposition	rebuild_owner	rebuild_evidence
activereader.h	40	CActiveReader::ToRead	* ToRead()	CActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:40-40	ce4726f45eee1dec6d469e7d1aca9aff0059ce4d13466f7f9a81ea4cb8188571	Returns (T*)mToRead.	mToRead		NONE_READ_ONLY	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;references/Onslaught/activereader.h:40;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.	A promoted same-owner body or bounded alias with compatible ABI and source semantics falsifies the current negative search.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
Career.h	32	CGrade::CGrade	CGrade(char g)	CGrade	ALL_TARGETS	references/Onslaught/Career.h:32-32	155990ead65b041f0a992ec86c940aca2f14a7d0053961315428fa733dd4ad63	Initializes grade(g).	grade		grade	SOURCE_EXACT	0x00420ab0		reverse-engineering/binary-analysis/functions/Career.cpp/CGrade__ctor_char.md;references/Onslaught/Career.h:32;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Function note names the exact char constructor signature, says Verified vs Source: Yes, and proves the one-byte field store.	Any pristine-body, ABI, or source-line readback mismatch at the cited VA refutes SOURCE_EXACT.	PORTED_SOURCE_SHAPE	rebuild/OnslaughtRebuild.Core/RetailCareerGrades.cs	RetailGrade carries both constructors and both comparison laws with explicit retail/source boundaries.
Career.h	33	CGrade::CGrade	CGrade(WCHAR g)	CGrade	ALL_TARGETS	references/Onslaught/Career.h:33-33	4a3867ab84ffe203d3db95fd2163ae031deea6ed50371a04e5192e56676e0ff4	Writes grade; source body: grade = (char)g ;	grade		grade	NO_MATCH_FOUND			references/Onslaught/Career.h:33;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PORTED_SOURCE_SHAPE	rebuild/OnslaughtRebuild.Core/RetailCareerGrades.cs	RetailGrade carries both constructors and both comparison laws with explicit retail/source boundaries.
Career.h	35	CGrade::operator>=	operator >= (const CGrade right) const	CGrade	ALL_TARGETS	references/Onslaught/Career.h:35-35	c6e556166076d4070bead42a348fb1d51cbeee7a4d7ffbd044e33eb7eda5cd6c	Executes the pinned source body in order: if (grade == 'S') return TRUE ; if (right.grade == 'S') return FALSE ; return grade <= right.grade ;	grade	'S';FALSE;TRUE	NONE_READ_ONLY	SOURCE_EXACT	0x00420ac0		reverse-engineering/binary-analysis/functions/Career.cpp/CGrade__operator_gte.md;references/Onslaught/Career.h:35;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Function note explicitly anchors Career.h:35, says Verified vs Source: Yes, and reproduces the S-grade and lexical comparison body.	Any pristine-body, ABI, or source-line readback mismatch at the cited VA refutes SOURCE_EXACT.	PORTED_SOURCE_SHAPE	rebuild/OnslaughtRebuild.Core/RetailCareerGrades.cs	RetailGrade carries both constructors and both comparison laws with explicit retail/source boundaries.
Career.h	36	CGrade::operator==	operator == (const CGrade right) const	CGrade	ALL_TARGETS	references/Onslaught/Career.h:36-36	644f2f32af364b2a959a9c928ad02329ac8caadb3c33691ee242034ca45fbe07	Returns grade == right.grade.	grade		NONE_READ_ONLY	NO_MATCH_FOUND			references/Onslaught/Career.h:36;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PORTED_SOURCE_SHAPE	rebuild/OnslaughtRebuild.Core/RetailCareerGrades.cs	RetailGrade carries both constructors and both comparison laws with explicit retail/source boundaries.
Career.h	53	CGoodie::CGoodie	CGoodie()	CGoodie	ALL_TARGETS	references/Onslaught/Career.h:53-53	ddaca7a40d553950e507e562bf63f9fa94c544e8fb8e044cd4aa1186dfa287fe	Initializes mState(GS_UNKNOWN).	mState	GS_UNKNOWN	mState	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;references/Onslaught/Career.h:53;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.	A promoted same-owner body or bounded alias with compatible ABI and source semantics falsifies the current negative search.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailCareer*.cs	Career graph, grade, slot, kill, goodie, and Level-100 handoff slices exist; save persistence and the options tail remain absent.
Career.h	69	CCareerNodeLink::CCareerNodeLink	CCareerNodeLink()	CCareerNodeLink	ALL_TARGETS	references/Onslaught/Career.h:69-69	22ee2c5253d5517242de368d6ad3a01e8b3f6d83a564e3425eaa95e440920852	Initializes mLinkType(CN_NOT_COMPLETE), mToNode(-1).	mLinkType;mToNode	-1;CN_NOT_COMPLETE	mLinkType;mToNode	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;references/Onslaught/Career.h:69;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.	A promoted same-owner body or bounded alias with compatible ABI and source semantics falsifies the current negative search.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailCareer*.cs	Career graph, grade, slot, kill, goodie, and Level-100 handoff slices exist; save persistence and the options tail remain absent.
Career.h	129	CCareer::Load	Load(char *source, bool suggest_next_level)	CCareer	TARGET == PC	references/Onslaught/Career.h:129-129	6f28cfa4e8b0eef63fa86844a2d9b9b7a01362a6cf8d43ef237fe3d96197b60b	Returns (FALSE).		FALSE	NONE_READ_ONLY	NO_MATCH_FOUND		0x00421200:CCareer__Load	references/Onslaught/Career.h:129;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Same qualified source function is defined at another file/line (typically a selected preprocessor branch); determine build membership first.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailCareer*.cs	Career graph, grade, slot, kill, goodie, and Level-100 handoff slices exist; save persistence and the options tail remain absent.
Career.h	133	CCareer::SizeOfSaveGame	SizeOfSaveGame()	CCareer	TARGET == PC	references/Onslaught/Career.h:133-133	0341fb0b863c19f67443c9925d47c7e6cfd18b41eb5532e725267725e5ac277d	Returns (0).		0	NONE_READ_ONLY	NO_MATCH_FOUND			references/Onslaught/Career.h:133;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Same qualified source function is defined at another file/line (typically a selected preprocessor branch); determine build membership first.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailCareer*.cs	Career graph, grade, slot, kill, goodie, and Level-100 handoff slices exist; save persistence and the options tail remain absent.
Career.h	138	CCareer::GetNode	* GetNode(int num)	CCareer	ALL_TARGETS	references/Onslaught/Career.h:138-138	03556c46611ca4db9ce7f74370db6f42fdf252e32bd729abdfa896bd9b0dbf7b	Executes the pinned source body in order: if (num < 0) return NULL ; return &mNode[num] ;	mNode	0;NULL	NONE_READ_ONLY	SOURCE_EXACT	0x00420af0	0x00420af0:CCareer__GetNode	reverse-engineering/binary-analysis/functions/Career.cpp/CCareer__GetNode.md;references/Onslaught/Career.h:138;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Function note explicitly identifies the Career.h inline accessor, says Verified vs Source: Yes, and reproduces its negative-index and stride behavior.	Any pristine-body, ABI, or source-line readback mismatch at the cited VA refutes SOURCE_EXACT.	PORTED_SOURCE_SHAPE	rebuild/OnslaughtRebuild.Core/RetailCareerGrades.cs	RetailCareerRecordLayout carries the node/link offsets and the source negative-index guards.
Career.h	139	CCareer::GetLink	* GetLink(int num)	CCareer	ALL_TARGETS	references/Onslaught/Career.h:139-139	041350f0c73b7715495419fb4f6ce3bb6297162b415e24198de43f537bfe1802	Executes the pinned source body in order: if (num <0) return NULL ;return &mNodeLink[num] ;	mNodeLink	0;NULL	NONE_READ_ONLY	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;references/Onslaught/Career.h:139;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.	A promoted same-owner body or bounded alias with compatible ABI and source semantics falsifies the current negative search.	PORTED_SOURCE_SHAPE	rebuild/OnslaughtRebuild.Core/RetailCareerGrades.cs	RetailCareerRecordLayout carries the node/link offsets and the source negative-index guards.
