source_file	source_line	function	signature	source_owner	subsystem_wave	readiness	retail_va_or_empty	current_name_candidates	authority	reason
activereader.h	40	CActiveReader::ToRead	* ToRead()	CActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	32	CGrade::CGrade	CGrade(char g)	CGrade	W1_SAVE_SESSION_INPUT_FRONTEND	EXISTING_EXACT_RETAIL_NOTE_VA	0x00420ab0		reverse-engineering/binary-analysis/functions/Career.cpp/CGrade__ctor_char.md	Function note names the exact char constructor signature, says Verified vs Source: Yes, and proves the one-byte field store.
Career.h	33	CGrade::CGrade	CGrade(WCHAR g)	CGrade	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.
Career.h	35	CGrade::operator>=	operator >= (const CGrade right) const	CGrade	W1_SAVE_SESSION_INPUT_FRONTEND	EXISTING_EXACT_RETAIL_NOTE_VA	0x00420ac0		reverse-engineering/binary-analysis/functions/Career.cpp/CGrade__operator_gte.md	Function note explicitly anchors Career.h:35, says Verified vs Source: Yes, and reproduces the S-grade and lexical comparison body.
Career.h	36	CGrade::operator==	operator == (const CGrade right) const	CGrade	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory + pinned source signature	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.
Career.h	53	CGoodie::CGoodie	CGoodie()	CGoodie	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	69	CCareerNodeLink::CCareerNodeLink	CCareerNodeLink()	CCareerNodeLink	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	129	CCareer::Load	Load(char *source, bool suggest_next_level)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION		0x00421200:CCareer__Load	pinned AST inventory + current crosswalk	Same qualified source function is defined at another file/line (typically a selected preprocessor branch); determine build membership first.
Career.h	133	CCareer::SizeOfSaveGame	SizeOfSaveGame()	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory + current crosswalk	Same qualified source function is defined at another file/line (typically a selected preprocessor branch); determine build membership first.
Career.h	138	CCareer::GetNode	* GetNode(int num)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	EXISTING_EXACT_RETAIL_NOTE_VA	0x00420af0	0x00420af0:CCareer__GetNode	reverse-engineering/binary-analysis/functions/Career.cpp/CCareer__GetNode.md	Function note explicitly identifies the Career.h inline accessor, says Verified vs Source: Yes, and reproduces its negative-index and stride behavior.
Career.h	139	CCareer::GetLink	* GetLink(int num)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	140	CCareer::GetGoodieState	GetGoodieState(int goodie_num)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	141	CCareer::SetGoodieState	SetGoodieState(int goodie_num, EGoodieState state)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	153	CCareer::InProgress	InProgress()	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	154	CCareer::SetInProgress	SetInProgress()	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	156	CCareer::GetSlots	& GetSlots()	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	161	CCareer::GetIsGod	GetIsGod(int player)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	162	CCareer::SetIsGod	SetIsGod(int player, BOOL val)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	166	CCareer::GetSoundVolume	GetSoundVolume()	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	167	CCareer::SetSoundVolume	SetSoundVolume(float val)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	169	CCareer::GetMusicVolume	GetMusicVolume()	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	170	CCareer::SetMusicVolume	SetMusicVolume(float val)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	172	CCareer::GetControllerConfigurationNum	GetControllerConfigurationNum(int player)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	173	CCareer::SetControllerConfigurationNum	SetControllerConfigurationNum(int player, int val)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	176	CCareer::GetInvertYAxis	GetInvertYAxis(int player)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	177	CCareer::SetInvertYAxis	SetInvertYAxis(int player, BOOL val)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	178	CCareer::GetVibration	GetVibration(int player)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Career.h	179	CCareer::SetVibration	SetVibration(int player, BOOL val)	CCareer	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Controller.h	194	CController::SetConfigurationNum	SetConfigurationNum(int num)	CController	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Controller.h	195	CController::GetConfigurationNum	GetConfigurationNum()	CController	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Controller.h	197	CController::GetReverseLookYAxis	GetReverseLookYAxis()	CController	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Controller.h	202	CController::IsPresent	IsPresent()	CController	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Controller.h	258	CController::GetPadNumber	GetPadNumber()	CController	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
DXGame.h	15	CDXGame::SetBaseTime	SetBaseTime(float t)	CDXGame	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
DXGame.h	16	CDXGame::SetFrameTime	SetFrameTime(float t)	CDXGame	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
event.h	16	CEvent::CEvent	CEvent()	CEvent	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory + current crosswalk	Same qualified source function is defined at another file/line (typically a selected preprocessor branch); determine build membership first.
event.h	18	CEvent::SetNum	SetNum(const int event)	CEvent	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
event.h	19	CEvent::GetEventNum	GetEventNum()	CEvent	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
event.h	20	CEvent::SetToCall	SetToCall(CMonitor* to_call)	CEvent	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
event.h	21	CEvent::GetToCall	*  GetToCall()	CEvent	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
eventmanager.h	58	CEventManager::TotalEvents	TotalEvents()	CEventManager	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
eventmanager.h	59	CEventManager::GetNumEventsProcessedInLastUpdate	GetNumEventsProcessedInLastUpdate()	CEventManager	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
eventmanager.h	60	CEventManager::GetTime	& GetTime()	CEventManager	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
eventmanager.h	61	CEventManager::GetCurrentEventProcessNum	GetCurrentEventProcessNum()	CEventManager	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
eventmanager.h	62	CEventManager::GetFrameCount	GetFrameCount()	CEventManager	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
eventmanager.h	68	CEventManager::IsValid	IsValid()	CEventManager	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
FEPGoodies.h	35	CGoodieData::GetNumber	GetNumber() const	CGoodieData	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
FEPGoodies.h	36	CGoodieData::GetNumber2	GetNumber2() const	CGoodieData	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
FrontEnd.cpp	32	CFrontEnd::CFrontEnd	CFrontEnd::CFrontEnd(void)	CFrontEnd	W1_SAVE_SESSION_INPUT_FRONTEND	EXTERNAL_PROOF_REQUIRED			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables	Out-of-line source definition has no proven tracked analog; external static/ABI or runtime proof is required before a negative or VA assignment.
Frontend.h	115	CFrontEnd::CanBeControlledWhenInPause	CanBeControlledWhenInPause()	CFrontEnd	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Frontend.h	116	CFrontEnd::GetControlType	GetControlType()	CFrontEnd	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Frontend.h	119	CFrontEnd::GetCounter	GetCounter()	CFrontEnd	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
Frontend.h	120	CFrontEnd::SetQuit	SetQuit(SINT val)	CFrontEnd	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
