address	name	xref_count	owners	top_counts	unambiguous_non_cgeneralvolume
0x0040d180	CGeneralVolume__Unk_0040d180	15	CEngine,CMeshCollisionVolume,CUnitAI	CMeshCollisionVolume:7;CUnitAI:5;CEngine:1	false
0x0040d1a0	CGeneralVolume__Unk_0040d1a0	4	CMonitor	CMonitor:1	true
0x0040d1f0	CGeneralVolume__Unk_0040d1f0	22			false
0x0040d2c0	CGeneralVolume__Unk_0040d2c0	56	CDXEngine,CEngine,CMCBuggy,CMCTentacle,CMeshPart,CParticleDescriptor,CSphere,CSquadNormal,CUnit,CUnitAI,CVBufTexture	CEngine:7;CSquadNormal:7;CDXEngine:5;CUnit:4;CMCBuggy:2	false
0x0040d320	CGeneralVolume__Unk_0040d320	64	CDXEngine,CEngine,CMCBuggy,CMCMech,CMCTentacle,CMeshPart,CMonitor,CParticleDescriptor,CSphere,CTree,CUnit,CUnitAI	CMCBuggy:6;CMCMech:5;CMeshPart:4;CUnit:4;CMCTentacle:3	false
0x0040d4d0	CGeneralVolume__Unk_0040d4d0	1			false
0x0040d5f0	CGeneralVolume__Unk_0040d5f0	3	CGeneralVolume	CGeneralVolume:3	false
0x0040d660	CGeneralVolume__Unk_0040d660	6	CDXCompass,CEngine,CExplosionInitThing	CExplosionInitThing:3;CDXCompass:2;CEngine:1	false
0x0040dfb0	CGeneralVolume__Unk_0040dfb0	3	CGeneralVolume,CUnit	CGeneralVolume:1;CUnit:1	false
0x0040e860	CGeneralVolume__Unk_0040e860	1			false
0x0040ef20	CGeneralVolume__Unk_0040ef20	2	CMonitor	CMonitor:1	true
0x00410310	CGeneralVolume__Unk_00410310	2			false
0x00410490	CGeneralVolume__Unk_00410490	1			false
0x00410740	CGeneralVolume__Unk_00410740	1			false
0x004109d0	CGeneralVolume__Unk_004109d0	1			false
0x004114d0	CGeneralVolume__Unk_004114d0	2			false
0x00411b70	CGeneralVolume__Unk_00411b70	1	CGeneralVolume	CGeneralVolume:1	false
0x004121b0	CGeneralVolume__Unk_004121b0	1	CGeneralVolume	CGeneralVolume:1	false
0x004122b0	CGeneralVolume__Unk_004122b0	1	CGeneralVolume	CGeneralVolume:1	false
0x00412310	CGeneralVolume__Unk_00412310	1	CGeneralVolume	CGeneralVolume:1	false
0x00412370	CGeneralVolume__Unk_00412370	1	CGeneralVolume	CGeneralVolume:1	false
0x00412480	CGeneralVolume__Unk_00412480	1	CGeneralVolume	CGeneralVolume:1	false
0x004124d0	CGeneralVolume__Unk_004124d0	1	CGeneralVolume	CGeneralVolume:1	false
0x004127a0	CGeneralVolume__Unk_004127a0	1			false
0x00412d80	CGeneralVolume__Unk_00412d80	1			false
0x00412f70	CGeneralVolume__Unk_00412f70	1			false
0x00413160	CGeneralVolume__Unk_00413160	1			false
0x00413360	CGeneralVolume__Unk_00413360	1			false
0x004135d0	CGeneralVolume__Unk_004135d0	2	CGeneralVolume	CGeneralVolume:1	false
0x004135e0	CGeneralVolume__Unk_004135e0	1			false
0x00413cc0	CGeneralVolume__Unk_00413cc0	1	CGeneralVolume	CGeneralVolume:1	false
0x00413cf0	CGeneralVolume__Unk_00413cf0	1	CGeneralVolume	CGeneralVolume:1	false
0x00413eb0	CGeneralVolume__Unk_00413eb0	3	CGeneralVolume	CGeneralVolume:3	false
0x00414030	CGeneralVolume__Unk_00414030	28	CBattleEngine,CCockpit,CEngine,CGeneralVolume,CMonitor	CGeneralVolume:20;CMonitor:3;CBattleEngine:2;CCockpit:1;CEngine:1	false
0x00414410	CGeneralVolume__Unk_00414410	1	CGeneralVolume	CGeneralVolume:1	false
0x00414470	CGeneralVolume__Unk_00414470	1	CGeneralVolume	CGeneralVolume:1	false
0x004144c0	CGeneralVolume__Unk_004144c0	1	CGeneralVolume	CGeneralVolume:1	false
0x00414520	CGeneralVolume__Unk_00414520	1	CGeneralVolume	CGeneralVolume:1	false
0x004145a0	CGeneralVolume__Unk_004145a0	1	CGeneralVolume	CGeneralVolume:1	false
0x004145d0	CGeneralVolume__Unk_004145d0	1	CGeneralVolume	CGeneralVolume:1	false
0x004145f0	CGeneralVolume__Unk_004145f0	1	CGeneralVolume	CGeneralVolume:1	false
0x00414970	CGeneralVolume__Unk_00414970	1			false
0x00414a40	CGeneralVolume__Unk_00414a40	1			false
