address	name	xref_count	owners	top_counts	unambiguous_non_cunit
0x004fbcb0	CUnit__Unk_004fbcb0	33	CGillMHead,CMonitor	CGillMHead:1;CMonitor:1	false
0x004fc000	CUnit__Unk_004fc000	31			false
0x004fc080	CUnit__Unk_004fc080	33	CUnitAI	CUnitAI:1	true
0x004fc170	CUnit__Unk_004fc170	33	CUnitAI	CUnitAI:1	true
0x004fc220	CUnit__Unk_004fc220	2	CUnit	CUnit:2	false
0x004fc3a0	CUnit__Unk_004fc3a0	1	CSpawnerThng	CSpawnerThng:1	true
0x004fc6e0	CUnit__Unk_004fc6e0	2	CUnit	CUnit:2	false
0x004fcc30	CUnit__Unk_004fcc30	26	CThing	CThing:2	true
0x004fcdc0	CUnit__Unk_004fcdc0	21			false
0x004fce40	CUnit__Unk_004fce40	6	CUnitAI	CUnitAI:1	true
0x004fce80	CUnit__Unk_004fce80	6			false
0x004fcec0	CUnit__Unk_004fcec0	7	CSquadNormal,CUnitAI	CUnitAI:3;CSquadNormal:2	false
0x004fcf00	CUnit__Unk_004fcf00	24			false
0x004fcfa0	CUnit__Unk_004fcfa0	1			false
0x004fcfe0	CUnit__Unk_004fcfe0	6	CUnit,CUnitAI	CUnit:1;CUnitAI:1	false
0x004fd040	CUnit__Unk_004fd040	3	CCannon,CInfluenceMap,CUnitAI	CCannon:1;CInfluenceMap:1;CUnitAI:1	false
0x004fd140	CUnit__Unk_004fd140	12	CInfluenceMap,CUnit,CUnitAI	CUnitAI:3;CUnit:2;CInfluenceMap:1	false
0x004fd380	CUnit__Unk_004fd380	6	CGroundVehicleGuide,CInfantryGuide,CMechGuide,CSpawnerThng,CSquadNormal	CGroundVehicleGuide:1;CInfantryGuide:1;CMechGuide:1;CSpawnerThng:1;CSquadNormal:1	false
0x004fd3d0	CUnit__Unk_004fd3d0	19	CBattleEngine,CCollisionSeekingInfantryBloke,CMonitor,CUnit	CBattleEngine:5;CUnit:3;CCollisionSeekingInfantryBloke:1;CMonitor:1	false
0x004fd4d0	CUnit__Unk_004fd4d0	24	CCannon	CCannon:1	true
0x004fd500	CUnit__Unk_004fd500	4	CExplosionInitThing	CExplosionInitThing:4	true
0x004fd570	CUnit__Unk_004fd570	2	CSquadNormal	CSquadNormal:2	true
0x004fd5b0	CUnit__Unk_004fd5b0	7			false
0x004fd760	CUnit__Unk_004fd760	9	CGillMHead,CVBufTexture	CVBufTexture:2;CGillMHead:1	false
0x004fd7a0	CUnit__Unk_004fd7a0	4	CUnit	CUnit:2	false
0x004fd7e0	CUnit__Unk_004fd7e0	4	CUnitAI	CUnitAI:1	true
0x004fd830	CUnit__Unk_004fd830	3	CUnit	CUnit:2	false
0x004fd8d0	CUnit__Unk_004fd8d0	4	CDestructableSegmentsController	CDestructableSegmentsController:3	true
0x004fd910	CUnit__Unk_004fd910	1			false
0x004fda10	CUnit__Unk_004fda10	8	CUnitAI	CUnitAI:2	true
0x004fda20	CUnit__Unk_004fda20	2	CUnit	CUnit:1	false
0x004fdad0	CUnit__Unk_004fdad0	1			false
0x004fdc20	CUnit__Unk_004fdc20	33			false
0x004fdcb0	CUnit__Unk_004fdcb0	33			false
0x004fde10	CUnit__Unk_004fde10	6	CUnitAI	CUnitAI:1	true
0x004fde30	CUnit__Unk_004fde30	1			false
0x004fde70	CUnit__Unk_004fde70	6	CWarspite	CWarspite:1	true
0x004fdeb0	CUnit__Unk_004fdeb0	21	CCockpit,CUnitAI	CUnitAI:2;CCockpit:1	false
