retail_va	current_name	body_bytes	ghidra_instruction_rows	proposal_status	cheapest_next_instrument
0x005a32d4	CFastVB__DispatchOp_MultiplyMatrix4x4_005a32d4	564	157	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005a38c0	CFastVB__DispatchOp_TransformVec4ArrayByMatrix4	149	42	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005a3980	CFastVB__DispatchOp_TransformVec4ArrayByMatrix4_Alt_005a3980	149	42	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005ac2d0	CallbackInstallTarget_005ac953	1610	485	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005acac0	CDXTexture__BuildJpegHuffmanDecodeTable	694	223	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005ad000	CallbackInstallTarget_005ad56e	1031	339	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005ad600	CallbackInstallTarget_005ae0c6	530	174	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005ae1f0	CallbackInstallTarget_005ae623	970	255	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005af930	CallbackInstallTarget_005b0fbc	294	96	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005b0ac0	CallbackInstallTarget_005b1006	462	140	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005b3170	CDXTexture__BuildJpegHuffmanEncodeTable	493	161	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005b4170	CallbackInstallTarget_005b498c	353	116	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005b4580	CallbackInstallTarget_005b49b0	640	205	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005b4b20	CallbackInstallTarget_005b5ba1	904	241	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005b62f0	CallbackInstallTarget_005b6d29	135	50	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005b6e70	CallbackInstallTarget_005b7610	206	53	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
0x005d2930	Unwind@005d2930	11	2	NO_PROPOSAL	cross-build constants/strings/source/library fingerprint or a newly proven corresponding caller
