registryIndex	command	entry	labelRelation	sourceCoordinatePlates	crossBuildCoordinate	staticContract	visibleFailureOrNoOp	remainingUnknown	cheapestFalsifier	grade	evidenceClass
97	Undeploy	0x00534f90	CONSISTENT	-	-	Tests receiver+0x10 flags+0x34 bit 0x10 and, when set, makes one direct call to 0x004FDE70; closes with RET 0x0C.	Failed flag gate is a silent no-op.	Full callee state machine; admissible receiver classes; runtime reachability; original C++ spelling; reconstruction parity.	Inspect 0x004FDE70 state writes and probe deployed and transitional states.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
64	GetSafePos	0x005350b0	BROADER	iscript.cpp:876@0x00535108	-	Zero-initializes three visible local words; when receiver+0x10 flags+0x34 bit 0x10 is set, calls receiver vslot 0x1B8 with the local address, then immediately copies four words from the pointer returned by that call; otherwise copies the three zeroed words plus an unwritten fourth local into a 0x14-byte wrapper; stores the wrapper through the output slot; closes with RET 0x0C.	The vslot-returned pointer is dereferenced without a local null guard; the unflagged fallback has three zero words and one unwritten word; wrapper-allocation failure stores a null output.	Vslot 0x1B8 semantics; whether its returned pointer aliases the supplied local; fallback fourth-word provenance; vector layout; runtime reachability; source equivalence; reconstruction parity.	Resolve vslot 0x1B8, compare its returned pointer with the supplied local, and compare flagged and unflagged wrapper bytes.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
54	PlayAnimationWait	0x005351d0	CONSISTENT	iscript.cpp:918@0x00535277	-	Reads interfaces from receiver+0x10; logs an ownership mismatch but continues; obtains a mesh-like object through vslot 0x24; removes/releases a prior context+0x38 item; decodes an animation name, calls 0x004AA630, decodes two boolean-like values, dispatches receiver vslot 0xF0, allocates and template-copies a 0x228-byte item on success, calls 0x004E5B20 with the resulting item pointer, sets global 0x0089C800 to one, and stores that pointer at context+0x38; closes with RET 0x0C.	Missing receiver interface or mesh returns before the item path; allocation failure sets the item pointer to null, still passes null to 0x004E5B20, sets the global to one, and stores null at context+0x38.	Boolean argument order; item type/lifetime; completion condition; 0x004E5B20 behavior on null; runtime reachability; source equivalence; reconstruction parity.	Force missing mesh and allocation failure separately, then trace vslot 0xF0, 0x004E5B20, and wait-item completion.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
51	SetSegmentHealth	0x00535480	BROADER	-	-	Requires receiver+0x10 flags+0x34 bit 0x10 and nonnull receiver+0x178; decodes a float-like VM value through vslot 0x34 and a string-like value through vslot 0x38, then passes both to direct callee 0x00444450; closes with RET 0x0C.	Failed flag or null-controller gate is a silent no-op.	Meaning and units of the callee's +0x0C field; segment lookup failure; runtime reachability; reconstruction parity.	Inspect 0x00444450 writes and probe a valid and invalid segment name.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
134	ResetSegmentHealth	0x005354c0	BROADER	-	-	Requires receiver+0x10 flags+0x34 bit 0x10 and nonnull receiver+0x178; decodes a float-like VM value through vslot 0x34 and a string-like value through vslot 0x38, then passes both to direct callee 0x004444B0; closes with RET 0x0C.	Failed flag or null-controller gate is a silent no-op.	Meanings of the callee's two segment fields; segment lookup failure; runtime reachability; reconstruction parity.	Inspect 0x004444B0's paired writes and probe a changed segment before and after the command.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
52	SetAllSegmentsHealth	0x00535500	BROADER	-	-	Requires receiver+0x10 flags+0x34 bit 0x10 and nonnull receiver+0x178; decodes one float-like VM value through vslot 0x34 and passes it to direct callee 0x00444580; closes with RET 0x0C.	Failed flag or null-controller gate is a silent no-op.	Meaning and units of field +0x0C; empty-controller behavior; runtime reachability; reconstruction parity.	Inspect 0x00444580's loop/write set and probe a multi-segment receiver.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
37	GetWeaponAmmo	0x00535610	CONSISTENT	iscript.cpp:1051@0x00535630	-	Initializes a float result to zero; when receiver+0x10 flags+0x34 bit 0x08 is set, calls direct callee 0x0040C3C0; allocates an 8-byte float wrapper and stores it through the output slot; closes with RET 0x0C.	Failed flag gate retains zero; wrapper-allocation failure stores a null output.	Return units/range; receiver classes; runtime reachability; source equivalence; reconstruction parity.	Probe empty, partial, and full ammunition states and compare raw return bits.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
39	GetWeaponCharge	0x00535750	CONSISTENT	iscript.cpp:1079@0x00535770	-	Initializes a float result to zero; when receiver+0x10 flags+0x34 bit 0x08 is set, calls direct callee 0x0040C4A0; allocates an 8-byte float wrapper and stores it through the output slot; closes with RET 0x0C.	Failed flag gate retains zero; wrapper-allocation failure stores a null output.	Return units/range; receiver classes; runtime reachability; source equivalence; reconstruction parity.	Probe empty, charging, and charged weapon states and compare raw return bits.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
131	GetNumber	0x00535980	BROADER	iscript.cpp:1143@0x0053599a	ISSUE11_US_RETAIL	Initializes a scalar result to zero; when receiver+0x10 flags+0x34 bit 0x00080000 is set, copies receiver field +0x270; allocates an 8-byte integer-shaped wrapper and stores it through the output slot; closes with RET 0x0C.	Failed flag gate retains zero; wrapper-allocation failure stores a null output.	Field +0x270 meaning and signedness; receiver classes; runtime reachability; source equivalence; reconstruction parity.	Trace all +0x270 writers and probe two known receiver instances with distinct values.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
93	SpawnersInUse	0x00535af0	BROADER	iscript.cpp:1203@0x00535b08	ISSUE11_US_RETAIL	Initializes a boolean result false; when receiver+0x10 flags+0x34 bit 0x10 is set, calls direct callee 0x004FD7A0, tests its full EAX result, and uses SETNZ to form the boolean; allocates an 8-byte boolean wrapper and stores it through the output slot; closes with RET 0x0C.	Failed flag gate retains false; wrapper-allocation failure stores a null output.	Callee predicate meaning; receiver classes; runtime reachability; source equivalence; reconstruction parity.	Inspect 0x004FD7A0 completely and toggle one candidate spawner/support state at runtime.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
107	IsFiring	0x00535b50	BROADER	iscript.cpp:1218@0x00535b68	-	Initializes a boolean result false; when receiver+0x10 flags+0x34 bit 0x10 is set, calls direct callee 0x004FD760, tests its full EAX result, and uses SETNZ to form the boolean; allocates an 8-byte boolean wrapper and stores it through the output slot; closes with RET 0x0C.	Failed flag gate retains false; wrapper-allocation failure stores a null output.	Callee predicate meaning; receiver classes; timing boundary; runtime reachability; source equivalence; reconstruction parity.	Inspect 0x004FD760 completely and compare returned values before, during, and after firing.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
46	SetHealth	0x00535c10	BROADER	-	-	Requires receiver+0x10 flags+0x34 bit 0x10; decodes a float-like VM value through vslot 0x34 and, when receiver field +0x164 is nonnull, multiplies it by float field +0xC0 of that object and stores the product at receiver+0xF8; closes with RET 0x0C.	Failed flag gate or null receiver+0x164 is a silent no-op.	Units and roles of +0xC0 and +0xF8; clamping elsewhere; runtime reachability; reconstruction parity.	Trace all readers/writers of both fields and probe inputs below zero, within range, and above one.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
34	HighlightHudPart	0x00535e60	BROADER	-	-	Decodes an integer-like VM value through vslot 0x30 and performs unchecked global write dword[0x008AA51C + index*4] = 2; closes with RET 0x0C.	No local bounds check or alternate path is present.	Array extent; meanings of states one and two; readers; malformed-index behavior; runtime reachability; reconstruction parity.	Find every array reader and probe the minimum, maximum valid, and one invalid index on a copied runtime.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
35	UnHighlightHudPart	0x00535e80	BROADER	-	-	Decodes an integer-like VM value through vslot 0x30 and performs unchecked global write dword[0x008AA51C + index*4] = 1; closes with RET 0x0C.	No local bounds check or alternate path is present.	Array extent; meanings of states one and two; readers; malformed-index behavior; runtime reachability; reconstruction parity.	Find every array reader and probe the minimum, maximum valid, and one invalid index on a copied runtime.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
22	SetVisible	0x00535ea0	BROADER	-	-	Decodes a boolean-like VM value through vslot 0x3C; exact low-byte value one dispatches receiver+0x10 vslot 0x80, while every other value dispatches vslot 0x84; closes with RET 0x0C.	No receiver null/type guard is present; non-one values all take the second arm.	Meanings of vslots 0x80 and 0x84; malformed boolean values; receiver classes; runtime reachability; reconstruction parity.	Resolve both slots for reachable vtables and probe values zero, one, and two.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
103	GetTarget	0x005366c0	BROADER	iscript.cpp:1557@0x005366f5;monitor.h:24@0x00536742	-	Initializes a target pointer to null; when receiver+0x10 flags+0x34 bit 0x10 is set, obtains a pointer through receiver vslot 0x144; allocates an 8-byte pointer wrapper; for a nonnull target, lazily allocates/initializes a 0x10-byte pointer set at target+0x04 and calls 0x004E5A80 to add the wrapper payload; stores the wrapper through the output slot; closes with RET 0x0C.	Outer wrapper-allocation failure stores a null output; if inner allocation fails, the handler stores null at target+0x04 and still calls 0x004E5A80 with a null receiver.	Vslot 0x144 semantics; pointer-set lifetime/removal; 0x004E5A80 consequence on null; exception cleanup; runtime reachability; source equivalence; reconstruction parity.	Resolve vslot 0x144, trace wrapper destruction/removal, and force outer and inner allocation failures separately.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
50	SpawnParticle	0x00536b70	CONSISTENT	-	-	Decodes a string-like VM value through vslot 0x38 and a vector-shaped value through vslot 0x44; looks up the named particle set via direct callee 0x004CD7A0; missing lookup logs through 0x00441740 and returns; a hit calls 0x004CB3D0 with null owner and two visible trailing zero arguments; closes with RET 0x0C.	Missing particle set logs and returns without the create call.	Exact vector ABI and create-call argument order; ownership/lifetime; runtime reachability; original C++ spelling; reconstruction parity.	Probe one missing and one known set while recording create-call arguments and the produced effect lifetime.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
132	SpawnEscapePod	0x005371e0	BROADER	-	-	If receiver+0x10+0x30 is nonnull, invokes its vslot 0x1C with shipped string SpawnerF and local outputs; allocates and initializes a 0xE8-byte actor-shaped object, constructs a large CInitThing-shaped descriptor, derives orientation with FPATAN/magnitude/acos helpers, substitutes receiver position when the three returned position components are zero, sets visible fixed descriptor fields, and dispatches actor vslot 0x24; closes with RET 0x0C.	Missing interface or outer actor allocation returns without the final actor dispatch.	SpawnerF output layout; exact descriptor fields; actor concrete type; registration semantics; intermediate failure paths; runtime reachability; reconstruction parity.	Capture vslot-0x1C outputs and the complete descriptor passed to actor vslot 0x24 for zero and nonzero positions.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
71	IsEnemy	0x00538060	BROADER	iscript.cpp:2071@0x00538077;iscript.cpp:2075@0x005380b1	-	Returns a wrapped true value only when receiver+0x10 flags+0x34 bit 0x10 is set and receiver field +0x138 equals one; all other paths wrap false; each arm allocates an 8-byte boolean wrapper; closes with RET 0x0C.	Either wrapper allocation may fail and stores a null output.	Field +0x138 enum meaning; receiver classes; runtime reachability; source equivalence; reconstruction parity.	Trace +0x138 writers/readers and compare known allied, enemy, and neutral receivers.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
125	InJetMode	0x005380f0	BROADER	iscript.cpp:2090@0x0053810f	-	Initializes a boolean result false; when receiver+0x10 flags+0x34 bit 0x08 is set, calls direct callee 0x00408120, tests its full EAX result, and changes the result to true only when full EAX equals zero; allocates an 8-byte boolean wrapper and stores it through the output slot; closes with RET 0x0C.	Failed flag gate retains false; wrapper-allocation failure stores a null output.	Callee predicate meaning and polarity; receiver classes; transition timing; runtime reachability; source equivalence; reconstruction parity.	Inspect 0x00408120 and probe walker, transition, and jet states around the threshold.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
143	IsOverWater	0x00538150	CONSISTENT	iscript.cpp:2098@0x0053815e	-	Calls direct callee 0x004F3DE0 on receiver+0x10, tests its full EAX result, uses SETNZ to form a boolean, allocates an 8-byte boolean wrapper, and stores it through the output slot; closes with RET 0x0C.	Wrapper-allocation failure stores a null output.	Callee terrain/water law; boundary tolerance; runtime reachability; source equivalence; reconstruction parity.	Inspect 0x004F3DE0 and probe known land, water, and shoreline positions.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
67	GetFloatRand	0x00538290	CONSISTENT	iscript.cpp:2141@0x005382a2	-	Advances the global random state through direct callee 0x004DE8D0; allocates an 8-byte float wrapper; masks the result with 0x8000FFFF and, when bit 31 remains set, applies DEC, OR 0xFFFF0000, and INC; converts the resulting signed dword to float, multiplies it by the float at 0x005D8D54, and stores the result through the output slot; closes with RET 0x0C.	Wrapper-allocation failure stores a null output after the random-state call has already occurred.	Exact output interval/distribution; seed ownership; constant value; runtime reachability; source equivalence; reconstruction parity.	Replay fixed seeds and compare state transitions and raw output bits against the instruction law.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
42	SetWindVector	0x00538300	BROADER	-	-	Decodes three float-like VM values through vslot 0x34; stores them in argument order to globals 0x00660198, 0x0066019C and 0x006601A0; then copies an otherwise unwritten local stack dword to 0x006601A4; closes with RET 0x0C.	No local guard or alternate path is present.	Meaning and consumers of all four globals; whether the fourth write is intentional padding residue; runtime stability; reconstruction parity.	Trace all four global readers and invoke repeatedly with a pre-patterned stack to test 0x006601A4 provenance.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
43	SetRainDensity	0x00538360	BROADER	-	-	Decodes one float-like VM value through vslot 0x34 and stores its raw single-precision result to global 0x00660190; closes with RET 0x0C.	No local guard or alternate path is present.	Units/range; clamping or consumers elsewhere; runtime reachability; reconstruction parity.	Trace all 0x00660190 readers and probe negative, zero, nominal, and oversized values.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
