addr	provenance	liveKind	currentNameLive	proposedName	tier	anchorKind	anchorEvidence	reason
0x00426900	PROMOTE	FUNCTION	CCollisionSeekingRound__CheckCollisionFlags	CCollisionSeekingThing__CheckCollisionFlags	TIER1_CLASS_RTTI+METHOD_UNCHANGED	RTTI_VTABLE_SLOT	dword[0x005d9628]=0x00426900 = slot 8 of vt 0x005d9608 (COL 0x0060d138 -> .?AVCCollisionSeekingThing@@); same fn at slot 8 of CCSRay 0x005de980 and CCSPersistentThing 0x005df6d8, whose RTTI base arrays both list .?AVCCollisionSeekingThing@@ -> introducing base confirmed; absent from any CCollisionSeekingRound vtable	Class identity recovered from the shipped image; earlier verdict re-measured independently. structuralAnchor=dword[0x005d9628]=0x00426900 (want 0x00426900) vtHead=0x005d9608 COL->CCollisionSeekingThing slotCalc=8 slotClaimed=8 vtableEntries=11 slotInsideVtable=True | prefixVtableBinding=vtableHits=3 CCollisionSeekingThing[head=0x005d9608 slot=8], CCSRay[head=0x005de980 slot=8], CCSPersistentThing[head=0x005df6d8 slot=8]
0x00426fd0	DEMOTE	FUNCTION	OID__AllocObject_DefaultTag_00662b2c	OID_T3_00426fd0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x00427fb0	PROMOTE	FUNCTION	CComponentBomberAI__dtor_base	CUnitAI__dtor_base_00427fb0	TIER1_CLASS_RTTI+TIER3_METHOD	RTTI_FAMILY	body installs base vt 0x005d8d1c (COL 0x0060c850 -> TD 0x00623960 = .?AVCUnitAI@@); second emission of the census CUnitAI__dtor_base 0x004a03b0 (bodies differ only in the SEH scope-table imm 0x5d1aae vs 0x5d349e) -- address suffix avoids a dup-name pair	Class identity recovered from the shipped image; earlier verdict re-measured independently. structuralAnchor=family vt=0x005d8d1c COL->CUnitAI (want CUnitAI) | prefixVtableBinding=vtableHits=0 
0x00428e80	DEMOTE	FUNCTION	CComponentAI__ClearReaderIfTargetDestroyedThenForward	CComponentAI_T3_00428e80	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCFenrirMainGunAI@@@slot4;.?AVCComponentBomberAI@@@slot4	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCFenrirMainGunAI@@@slot4;.?AVCComponentBomberAI@@@slot4
0x004309e0	DEMOTE	FUNCTION	ExplosionDefinition__CreateAndRegisterByName	ExplosionDefinition_T3_004309e0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x00433170	PROMOTE	FUNCTION	CComponentValue02__LoadFromMemBuffer	CUnitUse__LoadFromMemBuffer	TIER1_CLASS_RTTI+METHOD_UNCHANGED	RTTI_VTABLE_SLOT	dword[0x005d9d70]=0x00433170 = slot 3 of vt 0x005d9d64 (COL 0x0060e948 -> .?AVCUnitUse@@); CComponentValue02 absent image-wide	Class identity recovered from the shipped image; earlier verdict re-measured independently. structuralAnchor=dword[0x005d9d70]=0x00433170 (want 0x00433170) vtHead=0x005d9d64 COL->CUnitUse slotCalc=3 slotClaimed=3 vtableEntries=4 slotInsideVtable=True | prefixVtableBinding=vtableHits=2 CUnitUse[head=0x005d9d64 slot=3], CComponentUse[head=0x005daa70 slot=3]
0x004331e0	PROMOTE	FUNCTION	CComponentValue13__GetSerializedSize	CUnitUseSpawner__GetSerializedSize	TIER1_CLASS_RTTI+METHOD_UNCHANGED	RTTI_VTABLE_SLOT	dword[0x005d9d1c]=0x004331e0 = slot 2 of vt 0x005d9d14 (COL 0x0060e7b8 -> .?AVCUnitUseSpawner@@); CComponentValue13 absent image-wide	Class identity recovered from the shipped image; earlier verdict re-measured independently. structuralAnchor=dword[0x005d9d1c]=0x004331e0 (want 0x004331e0) vtHead=0x005d9d14 COL->CUnitUseSpawner slotCalc=2 slotClaimed=2 vtableEntries=4 slotInsideVtable=True | prefixVtableBinding=vtableHits=2 CUnitUseSpawner[head=0x005d9d14 slot=2], CComponentUseSpawner[head=0x005daa5c slot=2]
0x00433220	DEMOTE	FUNCTION	CComponentValue13__LoadFromMemBuffer	CComponentValue13_T3_00433220	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCUnitUseSpawner@@@slot3;.?AVCComponentUseSpawner@@@slot3	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCUnitUseSpawner@@@slot3;.?AVCComponentUseSpawner@@@slot3
0x00434b60	DEMOTE	FUNCTION	CPhysicsScriptValue__LoadScalarAt08FromMemBuffer	CPhysicsScriptValue_T3_00434b60	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCUnitIndiscriminate@@@slot3;.?AVCUnitBig@@@slot3;.?AVCUnitWingman@@@slot3;.?AVCUnitRetreat@@@slot3	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCUnitIndiscriminate@@@slot3;.?AVCUnitBig@@@slot3;.?AVCUnitWingman@@@slot3;.?AVCUnitRetreat@@@slot3
0x00435b20	DEMOTE	FUNCTION	CPhysicsWeaponModeValue__LoadTwoScalarsFromMemBuffer	CPhysicsWeaponModeValue_T3_00435b20	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_WRONG_OWNER; class anchor: RTTI_TYPE_DESCRIPTOR .?AVCPhysicsWeaponModeValue@@; vtable owners: .?AVCUnitAttackPriority@@@slot3;.?AVCWeaponLaunchSequence@@@slot3;.?AVCComponentAttackPriority@@@slot3	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_WRONG_OWNER; class anchor: RTTI_TYPE_DESCRIPTOR .?AVCPhysicsWeaponModeValue@@; vtable owners: .?AVCUnitAttackPriority@@@slot3;.?AVCWeaponLaunchSequence@@@slot3;.?AVCComponentAttackPriority@@@slot3
0x00438400	DEMOTE	FUNCTION	CPhysicsRoundValueLeaf__shared_scalar_deleting_dtor	CPhysicsRoundValueLeaf_T3_00438400	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCRoundLength@@@slot0;.?AVCRoundSmart@@@slot0;.?AVCRoundMesh@@@slot0;.?AVCRoundMissile@@@slot0	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCRoundLength@@@slot0;.?AVCRoundSmart@@@slot0;.?AVCRoundMesh@@@slot0;.?AVCRoundMissile@@@slot0
0x0043a840	DEMOTE	FUNCTION	CPhysicsSpawnerValueLeaf__shared_scalar_deleting_dtor	CPhysicsSpawnerValueLeaf_T3_0043a840	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCSpawnerConditions@@@slot0;.?AVCSpawnerInfinite@@@slot0;.?AVCSpawnerBasedOn@@@slot0;.?AVCSpawnerPostSpawnDelay@@@slot0	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCSpawnerConditions@@@slot0;.?AVCSpawnerInfinite@@@slot0;.?AVCSpawnerBasedOn@@@slot0;.?AVCSpawnerPostSpawnDelay@@@slot0
0x0043b1a0	DEMOTE	FUNCTION	CPhysicsScriptValue__LoadOwnedStringAt08FromMemBuffer	CPhysicsScriptValue_T3_0043b1a0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCUnitGroundWake@@@slot3;.?AVCUnitWaterWake@@@slot3;.?AVCUnitAfterburner@@@slot3;.?AVCUnitSpawnNoise@@@slot3	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCUnitGroundWake@@@slot3;.?AVCUnitWaterWake@@@slot3;.?AVCUnitAfterburner@@@slot3;.?AVCUnitSpawnNoise@@@slot3
0x0043b970	DEMOTE	FUNCTION	CPhysicsExplosionValueLeaf__shared_scalar_deleting_dtor	CPhysicsExplosionValueLeaf_T3_0043b970	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCExplosionWaterSound@@@slot0;.?AVCExplosionShockwave@@@slot0;.?AVCExplosionOriented@@@slot0;.?AVCExplosionLight@@@slot0	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCExplosionWaterSound@@@slot0;.?AVCExplosionShockwave@@@slot0;.?AVCExplosionOriented@@@slot0;.?AVCExplosionLight@@@slot0
0x0043bff0	DEMOTE	FUNCTION	CPhysicsFeatureValueLeaf__shared_scalar_deleting_dtor	CPhysicsFeatureValueLeaf_T3_0043bff0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCFeatureIcon@@@slot0;.?AVCFeatureLockable@@@slot0;.?AVCFeatureInvincible@@@slot0;.?AVCFeatureNoise@@@slot0	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCFeatureIcon@@@slot0;.?AVCFeatureLockable@@@slot0;.?AVCFeatureInvincible@@@slot0;.?AVCFeatureNoise@@@slot0
0x0043c230	DEMOTE	FUNCTION	CPhysicsHazardValueLeaf__shared_scalar_deleting_dtor	CPhysicsHazardValueLeaf_T3_0043c230	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCHazardNoise@@@slot0;.?AVCHazardEffect@@@slot0;.?AVCHazardDamage@@@slot0;.?AVCHazardRadius@@@slot0	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCHazardNoise@@@slot0;.?AVCHazardEffect@@@slot0;.?AVCHazardDamage@@@slot0;.?AVCHazardRadius@@@slot0
0x0043d5a0	DEMOTE	FUNCTION	CPhysicsComponentValueLeaf__shared_scalar_deleting_dtor	CPhysicsComponentValueLeaf_T3_0043d5a0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCComponentVent@@@slot0;.?AVCComponentPassOnHitEffect@@@slot0;.?AVCComponentSweeping@@@slot0;.?AVCComponentLockable@@@slot0	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCComponentVent@@@slot0;.?AVCComponentPassOnHitEffect@@@slot0;.?AVCComponentSweeping@@@slot0;.?AVCComponentLockable@@@slot0
0x0043d670	DEMOTE	FUNCTION	CComponentValue02__GetSerializedSize	CComponentValue02_T3_0043d670	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCUnitUse@@@slot2;.?AVCComponentUse@@@slot2	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCUnitUse@@@slot2;.?AVCComponentUse@@@slot2
0x00441e50	DEMOTE	FUNCTION	CDebugMarkers__Shutdown	CDebugMarkers_T3_00441e50	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x00441ea0	DEMOTE	FUNCTION	CDebugMarkers__Render	CDebugMarkers_T3_00441ea0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x004425a0	PROMOTE	FUNCTION	CDestructableSegment__Init	CDestroyableSegment__Init	TIER1_CLASS_RTTI+METHOD_UNCHANGED	RTTI_VTABLE_INSTALL	vt 0x005db02c installed by body; COL 0x00613060 -> TD 0x00628568 = .?AVCDestroyableSegment@@; CDestructableSegment absent image-wide	Class identity recovered from the shipped image; earlier verdict re-measured independently. structuralAnchor=vt=0x005db02c immediateInBody=True COL=0x00613060 -> CDestroyableSegment | prefixVtableBinding=vtableHits=0 
0x00442700	PROMOTE	FUNCTION	CDestructableSegment__RegisterChild	CDestroyableSegment__RegisterChild	TIER1_CLASS_RTTI+METHOD_UNCHANGED	RTTI_FAMILY	same segment family (vt 0x005db02c -> .?AVCDestroyableSegment@@); CDestructableSegment absent image-wide	Class identity recovered from the shipped image; earlier verdict re-measured independently. structuralAnchor=family vt=0x005db02c COL->CDestroyableSegment (want CDestroyableSegment) | prefixVtableBinding=vtableHits=0 
0x00442900	PROMOTE	FUNCTION	CDestructableSegment__GetTotalHealth	CDestroyableSegment__GetTotalHealth	TIER1_CLASS_RTTI+METHOD_UNCHANGED	RTTI_FAMILY	same segment family (vt 0x005db02c -> .?AVCDestroyableSegment@@); CDestructableSegment absent image-wide	Class identity recovered from the shipped image; earlier verdict re-measured independently. structuralAnchor=family vt=0x005db02c COL->CDestroyableSegment (want CDestroyableSegment) | prefixVtableBinding=vtableHits=0 
0x004429a0	DEMOTE	FUNCTION	CDestructableSegment__DispatchChildDestructionEvents	CDestructableSegment_T3_004429a0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x00442a80	DEMOTE	FUNCTION	CDestructableSegment__SetSubtreeActiveFlagRecursive	CDestructableSegment_T3_00442a80	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x004439c0	DEMOTE	FUNCTION	CDestroyableSegment__SharedVFunc_08_HandleChildBreak	CDestroyableSegment_T3_004439c0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_WRONG_OWNER; class anchor: RTTI_TYPE_DESCRIPTOR .?AVCDestroyableSegment@@; vtable owners: .?AVCDestroyableExtraUseMeshSegment@@@slot8;.?AVCDestroyableExtraSegment@@@slot8	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_WRONG_OWNER; class anchor: RTTI_TYPE_DESCRIPTOR .?AVCDestroyableSegment@@; vtable owners: .?AVCDestroyableExtraUseMeshSegment@@@slot8;.?AVCDestroyableExtraSegment@@@slot8
0x00447b50	DEMOTE	FUNCTION	CActor__SetFieldD0ToNow_00402010	CActor_T3_00447b50	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_WRONG_OWNER; class anchor: RTTI_TYPE_DESCRIPTOR .?AVCActor@@; vtable owners: .?AVCDropship@@@slot69	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_WRONG_OWNER; class anchor: RTTI_TYPE_DESCRIPTOR .?AVCActor@@; vtable owners: .?AVCDropship@@@slot69
0x00449d40	DEMOTE	FUNCTION	OID__FreeObject_Callback	OID_T3_00449d40	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x0044a690	DEMOTE	FUNCTION	RenderState__Set0x89_Zero	RenderState_T3_0044a690	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x0044d1f0	DEMOTE	FUNCTION	CUnitAI__RunHelper2000AndDispatchVFunc0x38IfFlag4	CUnitAI_T3_0044d1f0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_WRONG_OWNER; class anchor: RTTI_TYPE_DESCRIPTOR .?AVCUnitAI@@; vtable owners: .?AVCBoat@@@slot68;.?AVCComponent@@@slot68;.?AVCTentacle@@@slot68;.?AVCGillMHead@@@slot68	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_WRONG_OWNER; class anchor: RTTI_TYPE_DESCRIPTOR .?AVCUnitAI@@; vtable owners: .?AVCBoat@@@slot68;.?AVCComponent@@@slot68;.?AVCTentacle@@@slot68;.?AVCGillMHead@@@slot68
0x0044e300	DEMOTE	FUNCTION	PickupSpawn__MaybeSpawnAttachedPickupFromFrame_0044e300	PickupSpawn_T3_0044e300	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x00488f10	SLOTFIX	FUNCTION	CInfantryUnit__VFunc38_HandleHitOrDispatchHit	CInfantryUnit__VFunc39_HandleHitOrDispatchHit	TIER3_SLOT_ORDINAL	VTABLE_SLOT_OFF_BY_ONE	vtable 0x005e272c slot 39 @ 0x005e27c8; COL class CInfantryUnit; encodedSlot 38 delta 1; numbered from head+4 (the scalar-deleting-dtor slot), dropping true slot 0 of vtable 0x005e272c	Encoded vtable ordinal was wrong. Measured from the specimen: vtable 0x005e272c (COL CInfantryUnit, 117 entries) holds this VA at slot 39; the corrected name encodes that ordinal.
0x00488f80	SLOTFIX	FUNCTION	CInfantryUnit__VFunc34_CreateCollisionSphereWithAttachmentRadius	CInfantryUnit__VFunc35_CreateCollisionSphereWithAttachmentRadius	TIER3_SLOT_ORDINAL	VTABLE_SLOT_OFF_BY_ONE	vtable 0x005e272c slot 35 @ 0x005e27b8; COL class CInfantryUnit; encodedSlot 34 delta 1; numbered from head+4 (the scalar-deleting-dtor slot), dropping true slot 0 of vtable 0x005e272c	Encoded vtable ordinal was wrong. Measured from the specimen: vtable 0x005e272c (COL CInfantryUnit, 117 entries) holds this VA at slot 35; the corrected name encodes that ordinal.
0x00489090	SLOTFIX	FUNCTION	CInfantryUnit__VFunc59_SelectAnimationMode	CInfantryUnit__VFunc60_SelectAnimationMode	TIER3_SLOT_ORDINAL	VTABLE_SLOT_OFF_BY_ONE	vtable 0x005e272c slot 60 @ 0x005e281c; COL class CInfantryUnit; encodedSlot 59 delta 1; numbered from head+4 (the scalar-deleting-dtor slot), dropping true slot 0 of vtable 0x005e272c	Encoded vtable ordinal was wrong. Measured from the specimen: vtable 0x005e272c (COL CInfantryUnit, 117 entries) holds this VA at slot 60; the corrected name encodes that ordinal.
