candidateId	retailEntry	provider	sourceEquivalentName	proposedProjectLabel	equivalenceBasis	terminalClass	originalBeaLinkerSymbol	runtimeContract	promotionState
CF-018	0x005B89E0	AMD_3DNOW_SDK	a_exp	AMD3DNow__a_exp	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-019	0x005B8AC0	AMD_3DNOW_SDK	a_sqrt	AMD3DNow__a_sqrt	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-020	0x005B8AE0	AMD_3DNOW_SDK	a_fabs	AMD3DNow__a_fabs	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-021	0x005B8B00	AMD_3DNOW_SDK	a_ceil	AMD3DNow__a_ceil	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-022	0x005B8B40	AMD_3DNOW_SDK	a_floor	AMD3DNow__a_floor	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-023	0x005B8B80	AMD_3DNOW_SDK	a_frexp	AMD3DNow__a_frexp	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-024	0x005B8BC0	AMD_3DNOW_SDK	a_ldexp	AMD3DNow__a_ldexp	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-025	0x005B8C20	AMD_3DNOW_SDK	a_modf	AMD3DNow__a_modf	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-026	0x005B8C40	AMD_3DNOW_SDK	a_fmod	AMD3DNow__a_fmod	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS_RETAIL_VARIANT	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-027	0x005B8EA0	AMD_3DNOW_SDK	a_tan	AMD3DNow__a_tan	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-028	0x005B8FC0	AMD_3DNOW_SDK	a_pow	AMD3DNow__a_pow	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-029	0x005B9160	IJG_JPEG_6B	jpeg_idct_float	LIBJPEG6B__jpeg_idct_float	PINNED_SOURCE_SELECTOR_AND_ALGORITHM_IDENTITY	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-030	0x005BA270	IJG_JPEG_6B	jpeg_idct_ifast	LIBJPEG6B__jpeg_idct_ifast	PINNED_SOURCE_SELECTOR_AND_ALGORITHM_IDENTITY	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-031	0x005BACC0	IJG_JPEG_6B	jpeg_idct_islow	LIBJPEG6B__jpeg_idct_islow	PINNED_SOURCE_SELECTOR_AND_ALGORITHM_IDENTITY	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
