groupId	relation	platform	scope	bytes	sha256	members	evidence	confidence	caveat
PS2-DEMO-CORE-ELF	EXACT_BYTE_IDENTITY	PS2	BEA demo ELF across four carriers	3671888	5700B5D0B39554E49AFE65E079AD8109FE6688C2AA5E6F0E0ED5AFCEFD034584	G:\BEA ROMS\Lore\08_Demo_Discs\sced-51376\SCED_51376 ops2m germany 2003 01\SCED_51376.iso::BEA/BEA.ELF | G:\BEA ROMS\Lore\08_Demo_Discs\sced-51486\SCED_51486 Demo Welcome Pack Bonus Demo 4\SCED_51486.ISO::BEA/BEA.ELF | G:\BEA ROMS\Lore\08_Demo_Discs\sced-51566\SCED_51566 ops2m germany 2003 04\SCED_51566.iso::BEA/BEA.ELF | G:\BEA ROMS\Lore\08_Demo_Discs\sced-51570\SCED_51570 ops2m germany 2003 08\SCED_51570.iso::BEA/BEA.ELF	Complete tar member-stream SHA256 for all four	EXACT	Does not prove the IOP-module set or whole carrier identical
PS2-DEMO-CORE-DATA	EXACT_BYTE_IDENTITY	PS2	BEA demo data across four carriers	290716828	6D503CA251A4B00A5EBCFA447036075F6B1D563C9F55EA7AB784E7DB4B6F3D3C	G:\BEA ROMS\Lore\08_Demo_Discs\sced-51376\SCED_51376 ops2m germany 2003 01\SCED_51376.iso::BEA/DATA0.NYO | G:\BEA ROMS\Lore\08_Demo_Discs\sced-51486\SCED_51486 Demo Welcome Pack Bonus Demo 4\SCED_51486.ISO::BEA/DATA0.NYO | G:\BEA ROMS\Lore\08_Demo_Discs\sced-51566\SCED_51566 ops2m germany 2003 04\SCED_51566.iso::BEA/DATA0.NYO | G:\BEA ROMS\Lore\08_Demo_Discs\sced-51570\SCED_51570 ops2m germany 2003 08\SCED_51570.iso::BEA/DATA0.NYO	Complete tar member-stream SHA256 for all four	EXACT	Carrier images remain distinct
XBOX-USA-VIMM-OUTER	EXACT_BYTE_IDENTITY	Xbox	Outer 7z	1304654245	C58DD037CA6AA9BAEC9C58B65D1EA30ED305DA86BCA8E3E78FE7E2E38B31A959	G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - vimm.net - Xbox - ISO.7z | G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - vimm.net - Xbox - XISO.7z	Local SHA256 of both files	EXACT	XISO-labelled filename is more accurate; preserve both paths
XBOX-USA-XISO	INNER_OBJECT_EQUIVALENCE	Xbox	Contained XISO	3034054656	598095EFA15E450F51B42EF81DEA85F5DDE0FE678B00BD9BFE88FD3770F1FA18	G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - vimm.net - Xbox - ISO.7z::Battle Engine Aquila (USA).xiso.iso | G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - vimm.net - Xbox - XISO.7z::Battle Engine Aquila (USA).xiso.iso | G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - Xbox - XISO.7z::Battle Engine Aquila (USA).iso	Complete streams for Vimm XISO-labelled archive and Romsfun; second Vimm path derives from exact outer identity	EXACT	The Romsfun and Vimm outer archives differ
XBOX-REGION-PATH-LENGTH-MANIFEST	NORMALIZED_STRUCTURE_EQUIVALENCE	Xbox	Three extracted-game archives; 3823 files and 3029379235 bytes each	3029379235	4A000C0E51397FD3CBC923F3984A008396B51E13849F3DDD721F2903E432FE0B	G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip | G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip | G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	Derived SHA256 over sorted lowercase relative-path TAB length rows	STRUCTURAL_ONLY	This is not a content hash
XBOX-KOREA-USA-FILESYSTEM	CONTENT_EQUIVALENT_EXCEPT_ONE	Xbox	Extracted filesystem	3823 files	NOT_APPLICABLE	G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip | G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	3822 members have equal normalized path length and ZIP CRC32; only default.xbe differs	HIGH_TRIAGE	CRC32 is not cryptographic identity for all 3822 members
XBOX-REGION-DEFAULT-XBE	DISTINCT_BY_SHA256	Xbox	Regional XBE set	2973696	266387500A056752F45301A03772FA57FDC747CF0EDA46D39BBB915C5DB2F234 | E8DCF2626CDF8EFAA863DB6B74A964BB54B20A58444A3DEDF088C3E4CA2C3BE9 | E8ADC9D6940AE1A5FA9FAC0FE28E398BFFFD01758C2740A536B930C37C83985B	Europe xbe.zip::Default.xbe | Korea xbe.zip::default.xbe | USA xbe.zip::default.xbe	Complete ZipArchive member SHA256	EXACT	All three executables are distinct despite equal size
XBOX-KOREA-USA-612	EXACT_BYTE_IDENTITY	Xbox	Regional asset pair	23311449	61ADFFEAC37C9F17548F6BFE980A7EF4236EF0565FD68DB796878D1925CD73EC	Korea xbe.zip::data/resources/612_res_xbox.aya | USA xbe.zip::data/resources/612_res_xbox.aya	Complete member SHA256	EXACT	Europe has same length but different SHA256 D6FE7C8952BC66A58F046761EFBE481D3797B77A2DD05F0CE9D5679FF36F9AFF
XBOX-KOREA-USA-856	EXACT_BYTE_IDENTITY	Xbox	Regional asset pair	18595749	2292BADD90639DCE3BF5F55772367332708866EC0F7001C632C70B3C8B63CF4E	Korea xbe.zip::data/resources/856_res_xbox.aya | USA xbe.zip::data/resources/856_res_xbox.aya	Complete member SHA256	EXACT	Europe has same length but different SHA256 917FD88C6D2AE5368F4DEBBEE588C9F9604CEB0D99B0AF3AE68B3B021BF1379A
XBOX-KOREA-USA-863	EXACT_BYTE_IDENTITY	Xbox	Regional asset pair	23872292	C21666D11F5A301457C426EC0FF89201B55012968737CC93E14B57E88E85A584	Korea xbe.zip::data/resources/863_res_xbox.aya | USA xbe.zip::data/resources/863_res_xbox.aya	Complete member SHA256	EXACT	Europe has same length but different SHA256 037507E5A767B0302ED6BD836345AC6902DFA073475639047934EF9CB3B89222
XBOX-KOREA-USA-GOODIE124	EXACT_BYTE_IDENTITY	Xbox	Regional asset pair	1066220	31558308CEF835207C600406AF683CA63DFCB1192828B3B35970B705FCB469B4	Korea xbe.zip::data/resources/goodie_124_res_xbox.aya | USA xbe.zip::data/resources/goodie_124_res_xbox.aya	Complete member SHA256	EXACT	Europe has same length but different SHA256 0E6117C1295DDDE322B8AC85AA98704215165B4A341A369646D053B5C36BEFA8
XBOX-KOREA-USA-CUTSCENE24	EXACT_BYTE_IDENTITY	Xbox	Regional cutscene pair	26801000	250FA6B09C9078220BF52B6154E83FFFE796DA32BC5FFE29F158187B4F500B3B	Korea xbe.zip::data/video/cutscenes/24.bik | USA xbe.zip::data/video/cutscenes/24.bik	Complete member SHA256	EXACT	Europe has same length but different SHA256 37501D47F96858DC969538FF05CD187B918A85C01FFAC6C95245186EC7823C1C
XBOX-REGION-CONFIGURATION-SAMPLE	EXACT_BYTE_IDENTITY	Xbox	Three-region member	1514	58722B12A04CAE97AD2163ACB2CC2C1699F95A0688318BD8A86696714D94454A	Europe xbe.zip::data/Battle Engine Configurations.dat | Korea xbe.zip::data/Battle Engine Configurations.dat | USA xbe.zip::data/Battle Engine Configurations.dat	Complete member SHA256	EXACT	Sampled member; not a claim that every non-divergent member was cryptographically hashed
XBOX-REGION-PHYSICS-SAMPLE	EXACT_BYTE_IDENTITY	Xbox	Three-region member	175603	E1FB3DEDBEB29B4B4151DA2C8CBBDC940B716B1A2321E1D6A9BA1542C74ADA14	Europe xbe.zip::data/Default Physics.dat | Korea xbe.zip::data/Default Physics.dat | USA xbe.zip::data/Default Physics.dat	Complete member SHA256	EXACT	Sampled member
XBOX-REGION-AMERICAN-LANGUAGE-SAMPLE	EXACT_BYTE_IDENTITY	Xbox	Three-region member	274043	0F7129AEF391A298C61748E069C4B363456ED1ABD6C4F8548FFFC4A9206E8DB0	Europe xbe.zip::data/language/american.dat | Korea xbe.zip::data/language/american.dat | USA xbe.zip::data/language/american.dat	Complete member SHA256	EXACT	Sampled member
XBOX-REGION-ENGLISH-LANGUAGE-SAMPLE	EXACT_BYTE_IDENTITY	Xbox	Three-region member	274219	B6900E348FAEEC4C8EB294F96F9FD1BE55368A8CEED21F0082203604C3067D79	Europe xbe.zip::data/language/english.dat | Korea xbe.zip::data/language/english.dat | USA xbe.zip::data/language/english.dat	Complete member SHA256	EXACT	Sampled member
XBOX-DEMO-ISSUE7-VS-ISSUE11	DISTINCT_BY_SOURCE_SHA1	Xbox	Full DVD9 images	7825162240	NOT_MEASURED	G:\BEA ROMS\Lore\08_Demo_Discs\le-magazine-officiel-xbox-le-dvd-numero-7-microsoft-xbox-france\SEP13011042072.iso | G:\BEA ROMS\Lore\08_Demo_Discs\le-magazine-officiel-xbox-le-dvd-numero-11-microsoft-xbox-france\SEP13011042072.iso	Archive.org files sidecars give SHA1 8261ad70d09995052a0fb4a4aedeaeaaf26d6085 versus dcb154d1e2bfcdca39eb9822fd09ec32b2f26dc8	HIGH_SOURCE_METADATA	Local SHA256 not measured; XDVDFS BEA payloads remain unparsed
