absolutePath	memberPath	bytes	sha256	platform	region	container	claim	confidence	evidence
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (EnFrDeEsIt) - romsfun.com - PS2 - CHD.chd		1960131273	24229A9B2D3B14ABC420FB7E2574C27056CF07CAED0A4C842B9006D844278D1D	PS2	Europe	CHD v5	Direct CHD exact to LivBs member	EXACT_SHA256	Locally hashed; MComprHD; raw SHA1 6DFAFF9AF962D9FA4D10549C48EF52BFCF0A9D2F
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (USA) chd.zip		1950853803	NOT_MEASURED	PS2	USA	ZIP	Archive.org outer archive containing CHD v5	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 25345556cd66d8d8afa835db87a2aae6ff6f5b91
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\PS2\Battle Engine Aquila (USA) chd.zip	Battle Engine Aquila (USA).chd	1958342251	0F4C38C867FFD2DA537F9A507D15B22B3221D639BFCB290E3F5F16A564FCD028	PS2	USA	ZIP member CHD v5	Exact contained CHD object	EXACT_SHA256	ZipArchive member stream hashed without persistent extraction
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - PS2 - CHD.chd		1958342251	0F4C38C867FFD2DA537F9A507D15B22B3221D639BFCB290E3F5F16A564FCD028	PS2	USA	CHD v5	Direct CHD exact to LivBs member	EXACT_SHA256	Locally hashed; MComprHD; raw SHA1 D1CF585281A84C719148329C62EF61C94D51F803
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila - coolrom.com - PS2.7z		1434686468	NOT_MEASURED	PS2	Unknown	7z	Contains one claimed 3615948800-byte PS2 ISO plus mirror readme	CLAIMED_PROVENANCE	Filename and member listing only; 7z signature
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) - coolrom.com - PS2.7z		1434711075	NOT_MEASURED	PS2	Europe	7z	Contains one claimed 3615948800-byte Europe PS2 ISO plus mirror readme	CLAIMED_PROVENANCE	Filename and member listing only; 7z signature
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romulation.org - PS2.7z		1330020372	NOT_MEASURED	PS2	USA	7z	Contains one claimed 3615948800-byte USA PS2 ISO	CLAIMED_PROVENANCE	Filename and member listing only; 7z signature
G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - vimm.net - PS2 - ISO.7z		1434604689	NOT_MEASURED	PS2	USA	7z	Contains one claimed 3615948800-byte USA PS2 ISO plus mirror readme	CLAIMED_PROVENANCE	Filename and member listing only; 7z signature
G:\BEA ROMS\Lore\08_Demo_Discs\playstation2welcomepackdemodisc_20210727\SCED_51486.iso		3090382848	6B13E36F104916ACCBD4CAFB199335F382147B8C2366C9BA781EE17B6B3D4ADE	PS2	Europe	Demo-disc ISO9660	Welcome Pack Bonus Demo 4 carrier; exact duplicate of standalone SCED-51486 copy	EXACT_SHA256	Locally hashed; Archive.org identifier playstation2welcomepackdemodisc_20210727
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51486\SCED_51486 Demo Welcome Pack Bonus Demo 4\SCED_51486.ISO		3090382848	6B13E36F104916ACCBD4CAFB199335F382147B8C2366C9BA781EE17B6B3D4ADE	PS2	Europe	Demo-disc ISO9660	Standalone SCED-51486 carrier; exact duplicate of Welcome Pack copy	EXACT_SHA256	Locally hashed; Archive.org identifier sced-51486
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51376\SCED_51376 ops2m germany 2003 01\SCED_51376.iso		4412604416	NOT_MEASURED	PS2	Germany	Demo-disc ISO9660	OPS2M 2003-01 carrier containing playable BEA demo	SOURCE_SIDECAR	Archive.org identifier sced-51376; outer SHA1 13aa3a7cf256d3d93b8eece43ef757bb27b46036
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51566\SCED_51566 ops2m germany 2003 04\SCED_51566.iso		2730754048	NOT_MEASURED	PS2	Germany	Demo-disc ISO9660	OPS2M 2003-04 carrier containing playable BEA demo	SOURCE_SIDECAR	Archive.org identifier sced-51566; outer SHA1 970bb5d975ed4b86e65ac41eff48fb6c045803fc
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51570\SCED_51570 ops2m germany 2003 08\SCED_51570.iso		3062005760	NOT_MEASURED	PS2	Germany	Demo-disc ISO9660	OPS2M 2003-08 carrier containing playable BEA demo	SOURCE_SIDECAR	Archive.org identifier sced-51570; outer SHA1 9d50511157c51180b499ea13573a805783da95fa
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51376\SCED_51376 ops2m germany 2003 01\SCED_51376.iso	BEA/BEA.ELF	3671888	5700B5D0B39554E49AFE65E079AD8109FE6688C2AA5E6F0E0ED5AFCEFD034584	PS2	Demo	ISO9660 member ELF	Shared PS2 demo executable	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51376\SCED_51376 ops2m germany 2003 01\SCED_51376.iso	BEA/DATA0.NYO	290716828	6D503CA251A4B00A5EBCFA447036075F6B1D563C9F55EA7AB784E7DB4B6F3D3C	PS2	Demo	ISO9660 member NYO	Shared PS2 demo data package	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51486\SCED_51486 Demo Welcome Pack Bonus Demo 4\SCED_51486.ISO	BEA/BEA.ELF	3671888	5700B5D0B39554E49AFE65E079AD8109FE6688C2AA5E6F0E0ED5AFCEFD034584	PS2	Demo	ISO9660 member ELF	Shared PS2 demo executable	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51486\SCED_51486 Demo Welcome Pack Bonus Demo 4\SCED_51486.ISO	BEA/DATA0.NYO	290716828	6D503CA251A4B00A5EBCFA447036075F6B1D563C9F55EA7AB784E7DB4B6F3D3C	PS2	Demo	ISO9660 member NYO	Shared PS2 demo data package	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51566\SCED_51566 ops2m germany 2003 04\SCED_51566.iso	BEA/BEA.ELF	3671888	5700B5D0B39554E49AFE65E079AD8109FE6688C2AA5E6F0E0ED5AFCEFD034584	PS2	Demo	ISO9660 member ELF	Shared PS2 demo executable	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51566\SCED_51566 ops2m germany 2003 04\SCED_51566.iso	BEA/DATA0.NYO	290716828	6D503CA251A4B00A5EBCFA447036075F6B1D563C9F55EA7AB784E7DB4B6F3D3C	PS2	Demo	ISO9660 member NYO	Shared PS2 demo data package	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51570\SCED_51570 ops2m germany 2003 08\SCED_51570.iso	BEA/BEA.ELF	3671888	5700B5D0B39554E49AFE65E079AD8109FE6688C2AA5E6F0E0ED5AFCEFD034584	PS2	Demo	ISO9660 member ELF	Shared PS2 demo executable	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\08_Demo_Discs\sced-51570\SCED_51570 ops2m germany 2003 08\SCED_51570.iso	BEA/DATA0.NYO	290716828	6D503CA251A4B00A5EBCFA447036075F6B1D563C9F55EA7AB784E7DB4B6F3D3C	PS2	Demo	ISO9660 member NYO	Shared PS2 demo data package	EXACT_SHA256	tar stream hashed without persistent extraction
G:\BEA ROMS\Lore\08_Demo_Discs\playstation2welcomepackdemodisc_20210727\SCEE.iso		4641062912	NOT_MEASURED	PS2	Europe	Demo-disc ISO9660	Second Welcome Pack carrier; no BEA-named filesystem path found	SOURCE_SIDECAR	Archive.org sidecar SHA1 c6b63cb18e6b9d66f8857296121601da88ee25dc
G:\BEA ROMS\Lore\08_Demo_Discs\onyx_dvd_19\onyx-dvd-19-2-dvd-set\19 A.iso		4563501056	NOT_MEASURED	PC	Unknown	Third-party compilation ISO9660	Compilation carrier; no top-level BEA path found	LOW_PROVENANCE	Archive.org identifier onyx-dvd-19-2-dvd-set; outer SHA1 88fb48ca87c514be4728fb0687bdb87807f3e260
G:\BEA ROMS\Lore\08_Demo_Discs\onyx_dvd_19\onyx-dvd-19-2-dvd-set\19 B.iso		4551704576	NOT_MEASURED	PC	Unknown	Third-party compilation ISO9660	Compilation metadata mentions BEA as an ISO game; no top-level BEA path found	LOW_PROVENANCE	Archive.org identifier onyx-dvd-19-2-dvd-set; outer SHA1 a189ed200c3afd4769a5ded97315cbaec1ac5c87
G:\BEA ROMS\Lore\08_Demo_Discs\le-magazine-officiel-xbox-le-dvd-numero-7-microsoft-xbox-france\SEP13011042072.iso		7825162240	NOT_MEASURED	Xbox	France	DVD9 full-disc image	October 2002 magazine carrier explicitly listing playable BEA demo	SOURCE_SIDECAR	Archive.org identifier le-magazine-officiel-xbox-le-dvd-numero-7-microsoft-xbox-france; outer SHA1 8261ad70d09995052a0fb4a4aedeaeaaf26d6085
G:\BEA ROMS\Lore\08_Demo_Discs\le-magazine-officiel-xbox-le-dvd-numero-11-microsoft-xbox-france\SEP13011042072.iso		7825162240	NOT_MEASURED	Xbox	France	DVD9 full-disc image	January 2003 magazine carrier explicitly listing playable BEA demo	SOURCE_SIDECAR	Archive.org identifier le-magazine-officiel-xbox-le-dvd-numero-11-microsoft-xbox-france; outer SHA1 dcb154d1e2bfcdca39eb9822fd09ec32b2f26dc8
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) iso.zip		5812748831	NOT_MEASURED	Xbox	Europe	ZIP containing full-disc image	Claimed Europe full Xbox disc	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 2d421dc579868812c99233739720887fbe919f5e
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) iso.zip		5812739807	NOT_MEASURED	Xbox	Korea	ZIP containing full-disc image	Claimed Korea full Xbox disc	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 23679e0595ea740f491d0e62057eed4fdc9b10a7
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) iso.zip		5812739801	NOT_MEASURED	Xbox	USA	ZIP containing full-disc image	Claimed USA full Xbox disc	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 a8ac18002d0bc2fa080b27fcda1f7b3277758e9d
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip		1943450632	NOT_MEASURED	Xbox	Europe	ZIP extracted filesystem	Europe extracted-game archive; 3823 files	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 e0e84c2805be1d6f934963153adec9cc7b3bd804
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip		1943312011	NOT_MEASURED	Xbox	Korea	ZIP extracted filesystem	Korea extracted-game archive; 3823 files	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 adc5fc00d13e291976e77c5f39edf42aa49b451a
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip		1943296611	NOT_MEASURED	Xbox	USA	ZIP extracted filesystem	USA extracted-game archive; 3823 files	SOURCE_SIDECAR	Archive.org identifier BattleEngineAquila-LivBs; outer SHA1 5cf6bb9033f499a6b1084660cdbf8ad2cd68b5e1
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	Default.xbe	2973696	266387500A056752F45301A03772FA57FDC747CF0EDA46D39BBB915C5DB2F234	Xbox	Europe	ZIP member XBE	Europe executable; distinct from Korea and USA	EXACT_SHA256	ZipArchive member stream hashed without persistent extraction
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	default.xbe	2973696	E8DCF2626CDF8EFAA863DB6B74A964BB54B20A58444A3DEDF088C3E4CA2C3BE9	Xbox	Korea	ZIP member XBE	Korea executable; distinct from Europe and USA	EXACT_SHA256	ZipArchive member stream hashed without persistent extraction
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	default.xbe	2973696	E8ADC9D6940AE1A5FA9FAC0FE28E398BFFFD01758C2740A536B930C37C83985B	Xbox	USA	ZIP member XBE	USA executable; distinct from Europe and Korea	EXACT_SHA256	ZipArchive member stream hashed without persistent extraction
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	data/resources/612_res_xbox.aya	23311449	D6FE7C8952BC66A58F046761EFBE481D3797B77A2DD05F0CE9D5679FF36F9AFF	Xbox	Europe	ZIP member AYA	Europe-specific content variant	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	data/resources/612_res_xbox.aya	23311449	61ADFFEAC37C9F17548F6BFE980A7EF4236EF0565FD68DB796878D1925CD73EC	Xbox	Korea	ZIP member AYA	Exact Korea/USA common content	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	data/resources/612_res_xbox.aya	23311449	61ADFFEAC37C9F17548F6BFE980A7EF4236EF0565FD68DB796878D1925CD73EC	Xbox	USA	ZIP member AYA	Exact Korea/USA common content	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	data/resources/856_res_xbox.aya	18595749	917FD88C6D2AE5368F4DEBBEE588C9F9604CEB0D99B0AF3AE68B3B021BF1379A	Xbox	Europe	ZIP member AYA	Europe-specific content variant	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	data/resources/856_res_xbox.aya	18595749	2292BADD90639DCE3BF5F55772367332708866EC0F7001C632C70B3C8B63CF4E	Xbox	Korea	ZIP member AYA	Exact Korea/USA common content	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	data/resources/856_res_xbox.aya	18595749	2292BADD90639DCE3BF5F55772367332708866EC0F7001C632C70B3C8B63CF4E	Xbox	USA	ZIP member AYA	Exact Korea/USA common content	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	data/resources/863_res_xbox.aya	23872292	037507E5A767B0302ED6BD836345AC6902DFA073475639047934EF9CB3B89222	Xbox	Europe	ZIP member AYA	Europe-specific content variant	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	data/resources/863_res_xbox.aya	23872292	C21666D11F5A301457C426EC0FF89201B55012968737CC93E14B57E88E85A584	Xbox	Korea	ZIP member AYA	Exact Korea/USA common content	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	data/resources/863_res_xbox.aya	23872292	C21666D11F5A301457C426EC0FF89201B55012968737CC93E14B57E88E85A584	Xbox	USA	ZIP member AYA	Exact Korea/USA common content	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	data/resources/goodie_124_res_xbox.aya	1066220	0E6117C1295DDDE322B8AC85AA98704215165B4A341A369646D053B5C36BEFA8	Xbox	Europe	ZIP member AYA	Europe-specific content variant	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	data/resources/goodie_124_res_xbox.aya	1066220	31558308CEF835207C600406AF683CA63DFCB1192828B3B35970B705FCB469B4	Xbox	Korea	ZIP member AYA	Exact Korea/USA common content	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	data/resources/goodie_124_res_xbox.aya	1066220	31558308CEF835207C600406AF683CA63DFCB1192828B3B35970B705FCB469B4	Xbox	USA	ZIP member AYA	Exact Korea/USA common content	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	data/video/cutscenes/24.bik	26801000	37501D47F96858DC969538FF05CD187B918A85C01FFAC6C95245186EC7823C1C	Xbox	Europe	ZIP member BIK	Europe-specific cutscene variant	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	data/video/cutscenes/24.bik	26801000	250FA6B09C9078220BF52B6154E83FFFE796DA32BC5FFE29F158187B4F500B3B	Xbox	Korea	ZIP member BIK	Exact Korea/USA common cutscene	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	data/video/cutscenes/24.bik	26801000	250FA6B09C9078220BF52B6154E83FFFE796DA32BC5FFE29F158187B4F500B3B	Xbox	USA	ZIP member BIK	Exact Korea/USA common cutscene	EXACT_SHA256	CRC triage followed by member SHA256
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	data/Battle Engine Configurations.dat	1514	58722B12A04CAE97AD2163ACB2CC2C1699F95A0688318BD8A86696714D94454A	Xbox	Europe	ZIP member DAT	Sampled configuration common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	data/Battle Engine Configurations.dat	1514	58722B12A04CAE97AD2163ACB2CC2C1699F95A0688318BD8A86696714D94454A	Xbox	Korea	ZIP member DAT	Sampled configuration common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	data/Battle Engine Configurations.dat	1514	58722B12A04CAE97AD2163ACB2CC2C1699F95A0688318BD8A86696714D94454A	Xbox	USA	ZIP member DAT	Sampled configuration common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Europe) (En,Fr,De,Es,It) xbe.zip	data/Default Physics.dat	175603	E1FB3DEDBEB29B4B4151DA2C8CBBDC940B716B1A2321E1D6A9BA1542C74ADA14	Xbox	Europe	ZIP member DAT	Sampled physics data common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (Korea) xbe.zip	data/Default Physics.dat	175603	E1FB3DEDBEB29B4B4151DA2C8CBBDC940B716B1A2321E1D6A9BA1542C74ADA14	Xbox	Korea	ZIP member DAT	Sampled physics data common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
G:\BEA ROMS\Lore\11_Misc_Collections\BattleEngineAquila-LivBs\Xbox\Battle Engine Aquila (USA) xbe.zip	data/Default Physics.dat	175603	E1FB3DEDBEB29B4B4151DA2C8CBBDC940B716B1A2321E1D6A9BA1542C74ADA14	Xbox	USA	ZIP member DAT	Sampled physics data common to all three regions	EXACT_SHA256	ZipArchive member stream hashed
