source_file	source_line	function	delta_status	retail_va	retail_observation	evidence_path	boundary_or_falsifier
SoundManager.h	166	CSoundManagerDebugMenu::GetShowSubmenus	SOURCE_ONLY		The source-only constant-return debug-menu hook has no selected released PC body.	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	Select only after a debug-menu virtual target proves the constant true return.
SoundManager.h	222	CSoundManager::GetNumSoundEvents	SOURCE_ONLY		Retail independently recovers active count at manager +0x08 and the 256-event pool, but no exact accessor body is selected.	reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:56-68	An emitted accessor or caller inline must identify this exact source function.
SoundManager.h	224	CSoundManager::GetFirstSoundEvent	SOURCE_ONLY		Retail independently recovers the active-event head at manager +0x0C, but no exact accessor body is selected.	reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:56-68	An emitted accessor or caller inline must identify this exact source function.
SoundManager.h	231	CSoundManager::GetFirstSample	SOURCE_ONLY		Retail sample-list policy is recovered through create/delete/walk bodies, but no exact head accessor is selected.	reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.tsv	An emitted accessor or caller inline must identify this exact source function and field read.
SoundManager.h	233	CSoundManager::IsInitialised	SOURCE_ONLY		Retail manager bodies gate and mutate initialized state, but no exact accessor body is selected.	reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.tsv	An emitted accessor or caller inline must identify this exact source function and field read.
SoundManager.h	235	CSoundManager::SetFirstSample	SOURCE_ONLY		Retail sample-list ownership is recovered, but no exact root setter body is selected.	reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.tsv	An emitted setter or caller inline must identify this exact assignment.
SoundManager.h	237	CSoundManager::GetMasterVolume	SOURCE_ONLY		Retail SetMasterVolume stores the supplied float directly and persists it; no exact getter body is selected.	reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:98-108	An emitted accessor or caller inline must identify this exact field read.
SoundManager.h	240	CSoundManager::GetGameSoundsMasterVolume	SOURCE_ONLY		Retail event mixing independently uses manager master plus game/menu category scale, but no exact game-category accessor body is selected.	reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:98-114	An emitted accessor or caller inline must identify this exact field read.
SoundManager.h	241	CSoundManager::SetGameSoundsMasterVolume	SOURCE_ONLY		Retail category mixing is recovered, but no exact game-category setter body is selected.	reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:98-114	An emitted setter or caller inline must identify this exact field write.
SoundManager.h	243	CSoundManager::GetMenuSoundsMasterVolume	RETAIL_UNRESOLVED		The retained method returns the game-sound field rather than the menu field; no released body/caller decides whether Steam inherited, fixed, or bypassed that wrong-field read.	reverse-engineering/source-code/stuart-source-synthesis.md:1970-1979	A retail body or inlined caller must prove the selected field before reconstruction adopts the bug or a fix.
SoundManager.h	244	CSoundManager::SetMenuSoundsMasterVolume	SOURCE_ONLY		Retail category mixing is recovered, but no exact menu-category setter body is selected.	reverse-engineering/binary-analysis/csoundmanager-shared-semantics-2026-08-11.md:98-114	An emitted setter or caller inline must identify this exact field write.
SoundManager.h	247	CSoundManager::GetRadioMessageVolume	SOURCE_ONLY		The source getter is not selected; the current bounded reconstruction uses the released 0.42 constant from broader audio evidence.	rebuild/OnslaughtRebuild.Godot/Level100AudioCatalog.cs:88-138;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	An emitted accessor or caller inline must identify this exact field read.
SoundManager.h	248	CSoundManager::GetHUDMessageVolume	SOURCE_ONLY		The source getter is not selected; the current bounded reconstruction uses the released 0.45 constant from broader audio evidence.	rebuild/OnslaughtRebuild.Godot/Level100AudioCatalog.cs:88-138;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	An emitted accessor or caller inline must identify this exact field read.
