path_old	path_new	sha256	category	reason
reverse-engineering/binary-analysis/scratch/headless-2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/headless-2026-02-25	f364a908253a5efdbf7e791a7c6ce8cf2b57327c5d57ea3fbd38742354065f8a	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/headless-progress-2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/headless-progress-2026-02-25	12ee0907d8641e620b08c9b781f10bb9f1c7426b0536858ebbf543c33ae53afc	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/headless_live_verify_2026-02-25_controllerdef	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/headless_live_verify_2026-02-25_controllerdef	f39bf2c458052bdd17470416efcf296250d05e6d6261e3082a03f591ae0a4c28	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/headless_menuitem_orphans_wave2_2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/headless_menuitem_orphans_wave2_2026-02-25	2c2e7640bc55ca3806660f4e39ca180466745c4bd5cb11ed2230e190e03f554d	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/headless_run_2026-02-25_waveA	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/headless_run_2026-02-25_waveA	ec927f9919c0cdb131389cfae65e0e3c08e73b9190da50df827b503f938e04ed	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/menuitem_misassigned_2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/menuitem_misassigned_2026-02-25	f10f5c1ae7bda2073be5bdd6ee24b3c403521fc8cfde6f51f1f08246459caab4	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/menuitem_vfunc_deep_2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/menuitem_vfunc_deep_2026-02-25	999b6ed553addcf6e80962c53bc73103e538d15189875827ce3f312366c4c6b7	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/mesh_owner_followup_2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/mesh_owner_followup_2026-02-25	80a9f29560e44c5307fcfc6b45a56df130b83e0d762c258a988efdcccca910b7	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/options_entries_callers_deeppass_2026-02-25	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/options_entries_callers_deeppass_2026-02-25	562fba32a7e1d10e5a83afba3903076510391b920900af83511212cd2be5f2e5	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/orphan_root_artifacts_20260227_031111	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/orphan_root_artifacts_20260227_031111	941cf8bebd8a65ac436715270ec24d55d19ab0cebda409a16c23a7eedb0e6227	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/owner_scout_2026-02-26	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/owner_scout_2026-02-26	6d26107221da0af41ad4a6c13e7eb6e6844c45b581625f0b9af07ae9371a1413	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/wave217_signature_pass2_prep	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/wave217_signature_pass2_prep	32f5454da7b3c64ae3caed011f48deb1d654bbdf12ab1ee3ed54ab45e98a5f89	archive_now	No external refs detected; safe to archive.
reverse-engineering/binary-analysis/scratch/wave217_signature_pass3_prep	reverse-engineering/binary-analysis/scratch/archive/2026-03-01/wave217_signature_pass3_prep	5e7940a01940f635976853884a31a48ef1812d294da1966ea895e3558e2bc1ae	archive_now	No external refs detected; safe to archive.
