claim_id	area	extractor_claim	extractor_source	classification	current_evidence	comparison	priority_follow_up
CMSH-004	root	Mesh name is a fixed 300-byte NUL-trimmed UTF-8 field at stream offset 0x2C.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L20-L25;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L43-L50	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L85-L90;rebuild/tools/aya_battleengine_identity_analyzer.py:L428-L435	Current parsers use the same fixed field with stricter identity/path validation.	NONE
CMSH-005	root	Part count is u32 little-endian at stream offset 0x164 (CMSH payload +0x15C).	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L27-L33	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L85-L91;rebuild/tools/cmsh_static_preview.py:L993-L1000	Current parsers validate the same offset and require one MESP per declared part.	NONE
CMSH-006	root	Five u32 words after part count are skipped before CMST.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L27-L35	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-mesh.md:L85-L91;rebuild/tools/cmsh_static_preview.py:L263-L266	Current tooling carries the full root payload byte-exactly instead of assuming skipped words are pointers.	P4: retain as opaque until exact consumers are joined.
CMSH-007	framing	Every nested record is treated as a four-byte tag plus four-byte little-endian payload length.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L127-L134	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L17-L38;rebuild/tools/aya_battleengine_identity_analyzer.py:L47-L76	The 367-stream gate validates complete tag framing and lengths.	NONE
CMSH-008	framing	ReadTag advances eight bytes but normally ignores declared payload lengths, relying on hard-coded layouts and order.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L127-L134;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L136-L178	CURRENT_TOOL_STRONGER	rebuild/tools/aya_battleengine_identity_analyzer.py:L47-L76;rebuild/tools/cmsh_static_preview.py:L560-L636	Current parsers enforce each known payload length, full record consumption, bounds, and complete accepted orders.	NONE
CMSH-009	textures	CMST payload length is numTextures times 36 bytes, then exactly numTextures MSHT records follow.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L136-L152	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L45-L55;rebuild/tools/cmsh_static_preview.py:L993-L1004	All 367 streams obey this framing; current tools retain the 36-byte entries as opaque data.	NONE
CMSH-010	textures	Each MSHT contains one TEXB record in that order.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L154-L168	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L49-L55;rebuild/tools/cmsh_static_preview.py:L1000-L1012	Current parsers require exact MSHT/TEXB nesting and lengths.	NONE
CMSH-011	textures	TEXB begins with 20 bytes described tentatively as used-region/scale metadata.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L163-L172	UNKNOWN	rebuild/tools/cmsh_static_preview.py:L1111-L1115;rebuild/tools/cmsh_static_preview_tests.py:L816-L821	Current tools preserve these 20 bytes but deliberately do not interpret them; the extractor's scale/region label is unverified.	P3: join a TEXB consumer before naming the 20 bytes.
CMSH-012	textures	TEXB ends in a fixed 128-byte NUL-trimmed texture name.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L170-L176	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L51-L55;reverse-engineering/asset-formats/cmsh-mesh.md:L97-L103	Current parsers decode and preserve the same field across the complete stream set.	NONE
CMSH-013	parts	Exactly partCount MESP wrappers are consumed, each beginning with CMSP.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L33-L38;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L186-L200	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L89-L95;rebuild/tools/aya_battleengine_identity_analyzer.py:L428-L453	Current parsers require exact MESP cardinality and a 316-byte CMSP child.	NONE
CMSH-014	CMSP	CMSP stores current orientation, base orientation, offset/current position, and base position as 48/48/16/16 bytes in that order.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L202-L205	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L92-L94;rebuild/tools/aya_battleengine_identity_analyzer.py:L268-L276	Current parsers retain all four blocks and avoid conflating stored-current with runtime-composed transforms.	NONE
CMSH-015	CMSP	Eight bytes after the transforms are called pointers and skipped.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L219-L224	UNKNOWN	rebuild/tools/aya_battleengine_identity_analyzer.py:L268-L287;rebuild/tools/cmsh_static_preview.py:L213-L218	Current tools carry these words as opaque; pointer semantics are not proved for serialized bytes.	P4: keep opaque until loader writes/reads are closed.
CMSH-016	CMSP	CMSP contains part number, part type, and child count as three u32 values at +0x88.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L219-L224	CURRENTLY_CORROBORATED	reverse-engineering/game-assets/aya-asset-format.md:L148-L167;rebuild/tools/cmsh_static_preview.py:L662-L679	Current tools validate identity, type range, child bounds, and cross-check CHLD presence.	NONE
CMSH-017	CMSP	CMSP contains dVert, pVert, triangle, aFrame, vFrame, hFrame, and bone counts at +0xA8.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L226-L235	CURRENTLY_CORROBORATED	reverse-engineering/game-assets/aya-asset-format.md:L160-L167;reverse-engineering/asset-formats/cmsh-animation-usage.md:L44-L83	Current tools measure frame populations and bind vFrames/hFrames/bones to their records; aFrames remains unnamed.	P3: close aFrames at the retail loader before renaming it.
CMSH-018	CMSP	Six u32 words after the count block and sixteen more u32 words after the 32-byte name are skipped as pointer/unknown data.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L236-L242	CURRENT_TOOL_STRONGER	rebuild/tools/aya_battleengine_identity_analyzer.py:L283-L287;rebuild/tools/cmsh_static_preview.py:L213-L218	Current round-trip parsing carries all opaque CMSP bytes and measures nonzero contents instead of assigning pointer semantics.	P4: field naming only with exact consumers.
CMSH-019	CMSP	Part name is a fixed 32-byte NUL-trimmed string at CMSP +0xDC.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L236-L240	CURRENTLY_CORROBORATED	reverse-engineering/game-assets/aya-asset-format.md:L148-L167;rebuild/tools/cmsh_static_preview.py:L680-L687	Current parser validates termination and UTF-8 over all shipped parts.	NONE
CMSH-020	order	Part records are consumed in a single optional sequence: CHLD, PRNT, NMIC, BBOX, VHFM, HORI, HPOS, HFOV, BONE, BONW, BONS, PBKT, CPOS, CORI, REFR, PMVB.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L242-L389	CURRENT_TOOL_STRONGER	rebuild/tools/cmsh_static_preview.py:L281-L340;rebuild/tools/cmsh_static_preview_tests.py:L428-L468	Current corpus work enumerates and tests complete observed orders, including variants the extractor's linear optional walk only accepts accidentally.	NONE
CMSH-021	hierarchy	CHLD is childCount u32 part indices.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L242-L249	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L92-L97;rebuild/tools/cmsh_static_preview.py:L731-L736	Current tools bounds-check indices and hierarchy reciprocity/cycles.	NONE
CMSH-022	hierarchy	PRNT is one u32 parent part index.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L251-L256	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L92-L97;rebuild/tools/cmsh_static_preview.py:L737-L746	Current tools validate range and reciprocal CHLD ownership.	NONE
CMSH-023	hierarchy	NMIC is one u32 value that the extractor names a next-part-in-chain index.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L258-L263	UNKNOWN	reverse-engineering/asset-formats/cmsh-mesh.md:L58-L69;rebuild/tools/cmsh_static_preview.py:L737-L746	Two occurrences in one mesh corroborate only the four-byte, in-range part-index shape; no current consumer evidence proves next-chain behavior.	P4: locate the retail NMIC consumer before naming behavior.
CMSH-024	bounds	BBOX is an outer BBOX record containing a second BBOX chunk with a 40-byte payload.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L265-L280	CURRENTLY_CORROBORATED	rebuild/tools/cmsh_static_preview.py:L753-L764;reverse-engineering/asset-formats/cmsh-mesh.md:L45-L55	Current parser requires the nested structure and preserves two non-padding words.	NONE
CMSH-025	bounds	The nested BBOX payload is treated as two vec4-like blocks followed by valid and radius words.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L274-L278	CURRENT_TOOL_STRONGER	rebuild/tools/cmsh_static_preview.py:L753-L764	Current parsing resolves float3 center, carried word, float3 half-extents, carried word, validity, and radius rather than calling both fourth words padding.	NONE
CMSH-026	bounds	The comment speculates that the repeated BBOX tag is an exporter bug.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L265-L272	UNKNOWN	reverse-engineering/asset-formats/cmsh-mesh.md:L161-L176	The repeated wrapper is universal measured structure, but no writer evidence proves a bug or accident.	P4: do not repeat the bug claim without writer/source evidence.
CMSH-027	animation	VHFM payload length equals numVFrames bytes.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L282-L287	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-animation-usage.md:L44-L60;rebuild/tools/cmsh_static_preview.py:L765-L768	Current work proves each byte selects an in-range hierarchy pose and measures nontrivial maps.	NONE
CMSH-028	animation	HORI payload length equals numHFrames times 48 bytes (three vec4 rows per pose).	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L289-L293	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-animation-usage.md:L44-L60;rebuild/tools/cmsh_static_preview.py:L769-L785	Current parser decodes finite pose rows while retaining the fourth words as authored data.	NONE
CMSH-029	animation	HPOS payload length equals numHFrames times 16 bytes.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L295-L299	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-animation-usage.md:L44-L60;rebuild/tools/cmsh_static_preview.py:L786-L802	Current parser decodes float3 positions and retains the fourth word.	NONE
CMSH-030	animation	HFOV payload length equals numHFrames times four bytes.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L301-L305	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-animation-usage.md:L85-L102;rebuild/tools/cmsh_static_preview.py:L803-L812	Current work measures all 17 camera values and the bounded retail consumer.	NONE
CMSH-031	skinning	BONE payload length equals numBones u32 words.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L307-L311	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-animation-usage.md:L104-L125;rebuild/tools/cmsh_static_preview.py:L722-L730	Current work proves each word is an in-range same-mesh part index and measures the seven carriers.	NONE
CMSH-032	skinning	BONW is skipped as numPVert times four bytes times numBones.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L313-L317	EXTRACTOR_ONLY	reverse-engineering/asset-formats/cmsh-mesh.md:L40-L69;rebuild/tools/cmsh_static_preview.py:L720-L721	BONW is absent from the complete measured tag census and current parser rejects it; the formula has no present corpus corroboration.	P4: no implementation work until a hash-pinned specimen or writer proves BONW.
CMSH-033	skinning	BONS is skipped as numPVert times twelve bytes times numBones.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L319-L323	EXTRACTOR_ONLY	reverse-engineering/asset-formats/cmsh-mesh.md:L40-L69;rebuild/tools/cmsh_static_preview.py:L720-L721	BONS is absent from the complete measured tag census and current parser rejects it; the formula has no present corpus corroboration.	P4: no implementation work until a hash-pinned specimen or writer proves BONS.
CMSH-034	opaque	PBKT is skipped using its own declared chunk length.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L325-L332	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-mesh.md:L65-L77;rebuild/tools/cmsh_static_preview.py:L813-L825	Current parser bounds and byte-round-trips PBKT but explicitly leaves semantics opaque.	P2: PB-family schema remains an actual gap; join one instance to its consumer.
CMSH-035	cache	CPOS is skipped using its declared chunk length.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L334-L342	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-animation-usage.md:L44-L56;rebuild/tools/cmsh_static_preview.py:L813-L825	Current tools identify CPOS as a derived model-space position cache indexed by virtual frame and cross-check it approximately.	NONE
CMSH-036	cache	CORI is skipped using its declared chunk length.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L344-L352	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-animation-usage.md:L44-L56;rebuild/tools/cmsh_static_preview.py:L813-L825	Current tools identify CORI as a derived model-space orientation cache indexed by virtual frame and cross-check it approximately.	NONE
CMSH-037	references	REFR payload is one referenced-part u32 index, normally targeting an earlier part.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L354-L371	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-mesh.md:L56-L60;rebuild/tools/aya_battleengine_identity_analyzer.py:L400-L420	Current tools prove 388 occurrences, require an earlier direct geometry owner, reject chains/ambiguity, and preserve file-versus-expanded views.	NONE
CMSH-038	references	REFR expansion re-reads the target PMVB bytes but applies the referring part's base position/orientation, exemplified by guncrab legs.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L354-L370	CURRENT_TOOL_STRONGER	rebuild/tools/cmsh_static_preview.py:L937-L972;rebuild/tools/cmsh_static_preview_tests.py:L1004-L1016	Current tooling resolves repeated geometry with validated graphs and independent transforms without treating the guncrab example as universal semantics.	NONE
CMSH-039	references	A fixed 1,000-entry partVBBookmark array is the extractor's maximum referenceable part table.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L7-L10;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L380-L385	EXPORT_CONVENTION_ONLY	rebuild/tools/cmsh_static_preview.py:L20-L29;rebuild/tools/aya_battleengine_identity_analyzer.py:L24-L32	Current bounded parsers use an explicit 256-part profile; neither number is a serialized format maximum.	NONE
CMSH-040	termination	After a part, a recognized next-owner marker is rewound by eight bytes for the outer reader; any unrecognized tag is logged unexpected.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L387-L398	CURRENT_TOOL_STRONGER	rebuild/tools/aya_battleengine_identity_analyzer.py:L258-L265;rebuild/tools/aya_battleengine_identity_analyzer.py:L444-L452	Current parsers enumerate complete measured post-body sibling orders, include CEMT and PMS2/PMSH, and require exact residue accounting instead of a loose marker allowlist.	NONE
CMSH-041	termination	CCUS is accepted as a post-part next-owner marker.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L391-L395	EXTRACTOR_ONLY	reverse-engineering/asset-formats/cmsh-mesh.md:L42-L69;rebuild/tools/cmsh_static_preview.py:L378-L402	CCUS is absent from the complete measured tag census and every supported post-body sibling order; no hash-pinned specimen currently corroborates it.	P4: do not admit CCUS without a hash-pinned specimen or writer/consumer.
CMSH-042	termination	CAMD is accepted as a post-part next-owner marker.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L391-L395	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-mesh.md:L61-L69;rebuild/tools/cmsh_static_preview.py:L378-L402	CAMD occurs 61 times in 61 measured files; current tools accept it only in complete observed orders with BBOX and the measured optional CEMT/PMS2-or-PMSH siblings.	NONE
GEO-001	CMVB	PMVB begins with a 296-byte CMVB owner; group count is byte +264 and stride/FVF/topology are u32 values at +276/+280/+284.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L403-L424	CURRENT_TOOL_STRONGER	rebuild/tools/cmsh_static_preview.py:L560-L572;rebuild/tools/cmsh_static_preview.py:L1072-L1086	Current parser proves the payload length/offsets and measures supported triples rather than merely reading them.	NONE
GEO-002	CMVB	The extractor calls the CMVB group-count byte numTextures and iterates that many MMPT groups.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L411-L429	CONTRADICTED	rebuild/tools/aya_battleengine_identity_analyzer.py:L159-L180;rebuild/tools/cmsh_static_preview.py:L563-L570	Current owners name it material/group count; it is not the root texture count and may have a different cardinality.	NONE
GEO-003	CMVB	Of the 296 CMVB payload bytes, the extractor leaves 283 uninterpreted and describes many as pointers/unknown data.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L411-L424	CURRENT_TOOL_STRONGER	rebuild/tools/cmsh_static_preview.py:L234-L238;rebuild/tools/cmsh_static_preview.py:L1111-L1125	Current round-trip tooling measures and retains the same 283 uninterpreted bytes, including nonzero guards, rather than calling them pointers.	P4: field naming requires exact loader consumers.
GEO-004	MMPT	MMPT contains vBSize, iBSize, index count, vertex count, primitive count, and active as six u32 words.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L428-L442	CURRENT_TOOL_STRONGER	rebuild/tools/aya_battleengine_identity_analyzer.py:L180-L205;rebuild/tools/cmsh_static_preview.py:L587-L606	Current parsers validate active=1, byte/count arithmetic, primitiveCount=indexCount-2, and cross-group VBUF reuse.	NONE
GEO-005	geometry	Each group is ordered MMPT, IBUF, VBUF, TEXR.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L428-L499	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L54-L55;rebuild/tools/cmsh_static_preview.py:L587-L636	All supported populated groups use this exact sequence and lengths.	NONE
GEO-006	IBUF	IBUF is indexCount little-endian u16 indices; exported indices add the current flattened vertex offset.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L443-L458	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-mesh.md:L97-L103;rebuild/tools/cmsh_static_preview.py:L611-L635	Current parser validates bounds and keeps indices part-local; adding a flattened offset is only an exporter choice.	NONE
GEO-007	VBUF	Only group zero carries VBUF bytes; later groups declare/reuse the same vertex table and their VBUF payload is skipped by declared length.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L460-L487	CURRENT_TOOL_STRONGER	rebuild/tools/aya_battleengine_identity_analyzer.py:L189-L205;rebuild/tools/cmsh_static_preview.py:L601-L630	Current parser proves declaration equality and requires secondary VBUF payloads to be empty.	NONE
GEO-008	vertices	Rigid stride 36 is float3 position, float3 normal, packed u32 colour, float U, float V.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L106-L125	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L97-L103;rebuild/tools/cmsh_static_preview.py:L348-L377	Current complete parser decodes, validates, emits, and byte-round-trips this layout.	NONE
GEO-009	vertices	Stride 48 inserts three floats at +0x0C, tentatively guessed as bone weighting.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L106-L124	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-animation-usage.md:L104-L125;rebuild/tools/cmsh_static_preview_tests.py:L1232-L1237	Current corpus proves three matrix-palette slots equal BONE-index times three; weighting/blending remains open.	P1: recover the three-slot combination/weight rule and bind matrices.
GEO-010	transforms	Exported positions and normals are multiplied by base orientation using the extractor's explicit row/axis formula; positions then add base position.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModel.cs:L33-L42;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L466-L480	CURRENT_TOOL_STRONGER	rebuild/tools/aya_battleengine_identity_analyzer.py:L343-L358;rebuild/tools/cmsh_static_preview_tests.py:L179-L185	Current owners distinguish local base, hierarchy pose, reference instance, and parent composition and test transformed instances.	P2: retail parent/runtime composition remains open; do not infer it from the extractor.
GEO-011	transforms	Stored current orientation and offset position are read/loggable but ignored for geometry export.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L202-L217;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L466-L480	EXPORT_CONVENTION_ONLY	rebuild/tools/aya_battleengine_identity_analyzer.py:L343-L358;rebuild/tools/aya_battleengine_identity_analyzer.py:L510-L524	Current identity tooling reports stored-current separately and explicitly declines runtime-composition claims.	NONE
GEO-012	materials	TEXR payload is exactly six u32 texture IDs.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L489-L499	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L97-L103;rebuild/tools/cmsh_static_preview.py:L631-L637	Current parser retains all six raw slots for every group.	NONE
GEO-013	materials	The exporter assigns every index in a group only TEXR slot zero and ignores slots one through five.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L501-L507	CURRENT_TOOL_STRONGER	rebuild/tools/cmsh_static_preview_tests.py:L772-L775;rebuild/tools/cmsh_static_preview_tests.py:L884-L887	Current tooling preserves all slots, distinguishes 0xFFFFFFFF sentinel, and exposes layer groups; slot-zero diffuse binding is bounded, not complete multitexture semantics.	P2: recover remaining TEXR positional/blend semantics before claiming material parity.
