row_id	row_kind	subject	evidence_class	specimen_sha256	denominator	classified	result	evidence_boundary	remaining_unknown	falsifier
STATIC-012	retail-range	SIMD multiply	RETAIL_STATIC	e389c06c3e25676d5beedf8497b611893f3bad76968cd2b1443ba416408dd00b	308 bytes	exact range classified	0x005a0cc2	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-013	retail-range	packed multiply	RETAIL_STATIC	c4a9b44401f014cb18140a458292a02753bb9a0631a798b4e3a5d97e8b21aaa2	562 bytes	exact range classified	0x005a5bd7	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-014	retail-range	packed inverse	RETAIL_STATIC	b295e761b709b6017e8d285e5c5152ca8fe7fd8dd317abc51c6b8c77d79c9b3d	738 bytes	exact range classified	0x005a8f5d	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-015	retail-range	packed inverse wrapper	RETAIL_STATIC	7a3db866d271eeb57d307293732d8a0f6df78792434900be0c16455cf5bcc9f9	28 bytes	exact range classified	0x005a996b	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
SHADER-001	linked-shader	no-normal variant	COPIED_RUNTIME_MEASURED	1fb683058f29fe7cb5a4df4581d55fa6ba54b6edf4ef72526c4a2bc2401a4045	143 tokens; 39 instructions	zero unclassified tokens/instructions	{"add":3,"dcl":4,"dp3":1,"dp4":17,"lit":1,"mov":7,"mul":3,"rcp":2,"rsq":1}	normalBearing=False; normalConsumers=0	no runtime normal output or pixel observation	token hash/count/opcode drift or any additional v3 consumer
SHADER-002	linked-shader	normal-bearing	COPIED_RUNTIME_MEASURED	f3b90c830f566d2d19a9f801925d400510bbe7fab5397ae9825f867d9a0d596c	173 tokens; 47 instructions	zero unclassified tokens/instructions	{"add":3,"dcl":5,"dp3":3,"dp4":17,"lit":3,"mad":2,"mov":8,"mul":3,"rcp":2,"rsq":1}	normalBearing=True; normalConsumers=2	no runtime normal output or pixel observation	token hash/count/opcode drift or any additional v3 consumer
NORMAL-LAW	normal-law	released linked normal dataflow	COPIED_RUNTIME_MEASURED	1fb683058f29fe7cb5a4df4581d55fa6ba54b6edf4ef72526c4a2bc2401a4045+f3b90c830f566d2d19a9f801925d400510bbe7fab5397ae9825f867d9a0d596c	six shader instances; two identities	two direct v3 dp3 consumers; zero palette rows, slot coefficients, translation, or normalization	identity: serialized normal v3 reaches lighting dp3 instructions directly	v3 is lit directly by c89/c91; the no-normal variant has no v3 declaration/use	no runtime transformed normal output or pixels observed	one relative c10 read, dp4 normal consumer, normalize dependency, or token identity drift
NORMAL-CONTROL	synthetic-control	hash-pinned serialized normal	STATIC_PLUS_SYNTHETIC	fc736153dbb1a857f08e9d81708ffa9fa6dbbb4ddbd7fff1529c8a2135678c21	42 captured palette rows plus adverse mutation	base/adverse output hashes equal; zero palette reads	output=eac5ae16088fd9318a9e32af66095c3dda033e9b892f80b01de5dffecb590599; invariant=True	mesh=3c9092f3b7b16289e09e16e475303bef3fc072994ebf67b3ab7d88ed544a6967; palette=01a1dbf4a792173ab8a561fec465e669dd85abccb16a81d98b775213b59543ed	synthetic lighting constants are not a runtime output observation	base/adverse output mismatch or a nonzero palette read
P1-PRESERVED	prior-contract	released position law and scale owner	REUSED_VERIFIED	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	landed P1 full replay	slot coefficients and renderer owner exact	coefficients=[0.0, 0.6666666865348816, 0.3333333432674408]; owner=CMeshRenderer__RenderMeshCore; bits=0x3eaaaaab	position law is reused, not reopened	bug-versus-intent remains unknown	symmetric slot mutation, wrong owner, wrong scale bits, or P1 replay failure
UNKNOWN-001	unknown	residual 1	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	explicitly outside closed denominator	The exact runtime-selected CPU dispatch implementation address was not captured; the pinned scalar, SIMD, and packed implementations share the typed ABI/equation, while low-order evaluation differences remain unmeasured.	claim boundary	The exact runtime-selected CPU dispatch implementation address was not captured; the pinned scalar, SIMD, and packed implementations share the typed ABI/equation, while low-order evaluation differences remain unmeasured.	use the focused falsifier in the contract document
UNKNOWN-002	unknown	residual 2	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	explicitly outside closed denominator	No transformed normal or pixel was observed at runtime; the closed law is the exact linked-token dataflow plus a synthetic interpreter control.	claim boundary	No transformed normal or pixel was observed at runtime; the closed law is the exact linked-token dataflow plus a synthetic interpreter control.	use the focused falsifier in the contract document
UNKNOWN-003	unknown	residual 3	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	explicitly outside closed denominator	Matrix handedness and semantic axis naming are not established by row-major storage and row-vector product order.	claim boundary	Matrix handedness and semantic axis naming are not established by row-major storage and row-vector product order.	use the focused falsifier in the contract document
