row_id	row_kind	subject	evidence_class	specimen_sha256	denominator	classified	result	evidence_boundary	remaining_unknown	falsifier
CAPTURE-001	runtime-capture	vsdump-lvl611	COPIED_RUNTIME_MEASURED	8caff0c638978be90ab15530bb74321200abc0725fcc1812ee634338eb32800d	48 shader creates; 0 palette blocks	2 skinning shaders classified	level=611; uniqueSkinning=2; paletteRows=0	run=6a22ae6c60f38cd2f3348043d5d306f1fa6d5c6a46087ce737b2aaa5985f6458; target=e1436ef7e0ad9ccbddd43aaaca952f6e84d4b1a282835cead745efcfc32fadf4; proxy=6ddb1e67be87b79bc1b7a2aff8c503237299459766cd017c1ab86e0380fd0514	capture proves only the named level/session	hash drift, shader-core drift, or incomplete palette preamble
CAPTURE-002	runtime-capture	vsdump-lvl800	COPIED_RUNTIME_MEASURED	5847b187e5ac8306219552a4ec56c3f48f76b453c09f74717b0c7eabaa8088fb	48 shader creates; 20 palette blocks	2 skinning shaders classified	level=800; uniqueSkinning=2; paletteRows=840	run=d073a8e27fb0ab0a7561d2773beaf5afff2a42a59c99be47c484c4d68d67d749; target=e1436ef7e0ad9ccbddd43aaaca952f6e84d4b1a282835cead745efcfc32fadf4; proxy=6ddb1e67be87b79bc1b7a2aff8c503237299459766cd017c1ab86e0380fd0514	capture proves only the named level/session	hash drift, shader-core drift, or incomplete palette preamble
CAPTURE-003	runtime-capture	vskin-lvl800	COPIED_RUNTIME_MEASURED	d2966a4ec72af0dd7e8517bf51192cfd67fdde4efc575a36bf905c45b8aef88a	48 shader creates; 12 palette blocks	2 skinning shaders classified	level=800; uniqueSkinning=2; paletteRows=504	run=4e4769d2e4fbb5f087461edd6dbe450f85394e9230fbc5936428fb85b799c24c; target=e1436ef7e0ad9ccbddd43aaaca952f6e84d4b1a282835cead745efcfc32fadf4; proxy=6ddb1e67be87b79bc1b7a2aff8c503237299459766cd017c1ab86e0380fd0514	capture proves only the named level/session	hash drift, shader-core drift, or incomplete palette preamble
READBACK-001	runtime-readback	m_Sentinel Arm Big.msh.aya	COPIED_RUNTIME_MEASURED	728853A3DB40EE3E	233 vertices; 2796 field words	2796 compared; 0 mismatched	mismatches={"diffuse":0,"normal":0,"paletteSlot":0,"position":0,"uv":0}; unlocks=1	position, three palette offsets, normal, diffuse, and UV compared at logged precision	raw byte identity below printed precision is unknown	one field-word mismatch above 1e-3 or a vertex-buffer unlock count other than one
READBACK-002	runtime-readback	m_Sentinel Arm Small.msh.aya	COPIED_RUNTIME_MEASURED	924CEA5B6FA76954	234 vertices; 2808 field words	2808 compared; 0 mismatched	mismatches={"diffuse":0,"normal":0,"paletteSlot":0,"position":0,"uv":0}; unlocks=1	position, three palette offsets, normal, diffuse, and UV compared at logged precision	raw byte identity below printed precision is unknown	one field-word mismatch above 1e-3 or a vertex-buffer unlock count other than one
STATIC-001	retail-function	CMeshPart__LoadVerticesWithBones	RETAIL_STATIC	2e2541a66ff58b4e6fff4aced3fdbfb685c6628e641134d600fd395dd3a7b316	3139 bytes	exact range classified for this contract	0x004afbb0	raw range hash against pristine 74154bfa specimen	static bytes alone do not prove every runtime path executes	body/range/hash or direct-call target drift
STATIC-002	retail-function	CMCMech__BuildInterpolatedPoseAndAnchor	RETAIL_STATIC	54997c37d712cfcdb7ab8cb6980eb5c4624fa387a227ad442dd984d13ddf1d4c	2692 bytes	exact range classified for this contract	0x004b0fb0	raw range hash against pristine 74154bfa specimen	static bytes alone do not prove every runtime path executes	body/range/hash or direct-call target drift
STATIC-003	retail-function	CVertexShader__ApplyCustomRenderStateShaderConstants	RETAIL_STATIC	f5625793a5e4493280d3d380ec81488e9fb7e10f4d1a2b5ce8ab94c4b9bd5e34	4512 bytes	exact range classified for this contract	0x00502920	raw range hash against pristine 74154bfa specimen	static bytes alone do not prove every runtime path executes	body/range/hash or direct-call target drift
STATIC-004	retail-function	CMeshRenderer__RenderMeshCore	RETAIL_STATIC	e1371a73aaa0da2f502b54d4eb830f50b6913662cce6416ac057a361b298d2fb	8844 bytes	exact range classified for this contract	0x00549570	raw range hash against pristine 74154bfa specimen	static bytes alone do not prove every runtime path executes	body/range/hash or direct-call target drift
STATIC-005	retail-function	CDXMeshVB__BuildSkeletalVB	RETAIL_STATIC	fa71ca9eee533a891fbf1658145f70578546e7be43a4ef294d89db07a73ef8f0	2254 bytes	exact range classified for this contract	0x0054c920	raw range hash against pristine 74154bfa specimen	static bytes alone do not prove every runtime path executes	body/range/hash or direct-call target drift
UNKNOWN-001	unknown	residual 1	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	explicitly outside tested field denominator	The dense retail matrix-construction body proves frame-zero/current-pose roles, but its exact row/column multiplication order is not promoted beyond those calls.	claim boundary	The dense retail matrix-construction body proves frame-zero/current-pose roles, but its exact row/column multiplication order is not promoted beyond those calls.	use the focused falsifier stated in the contract document
UNKNOWN-002	unknown	residual 2	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	explicitly outside tested field denominator	The captured runtime VB agrees field-by-field at printed precision; low-order raw-byte identity remains unproved.	claim boundary	The captured runtime VB agrees field-by-field at printed precision; low-order raw-byte identity remains unproved.	use the focused falsifier stated in the contract document
UNKNOWN-003	unknown	residual 3	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	explicitly outside tested field denominator	Whether slot-zero loss is an intended convention or a linker bug remains unknown.	claim boundary	Whether slot-zero loss is an intended convention or a linker bug remains unknown.	use the focused falsifier stated in the contract document
UNKNOWN-004	unknown	residual 4	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	explicitly outside tested field denominator	The two Sentinel arms are runtime-observed; the five infantry meshes share the serialized family and linked shader but were not observed drawing in these captures.	claim boundary	The two Sentinel arms are runtime-observed; the five infantry meshes share the serialized family and linked shader but were not observed drawing in these captures.	use the focused falsifier stated in the contract document
UNKNOWN-005	unknown	residual 5	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	explicitly outside tested field denominator	The position combine is decoded exactly; the shader's normal-transform combine remains outside this contract.	claim boundary	The position combine is decoded exactly; the shader's normal-transform combine remains outside this contract.	use the focused falsifier stated in the contract document
