name	files	size_kb	total_refs	state_refs	backlog_refs	risk	classification	broken_reference_risk	rationale
deep_semantic_tail_2026-02-27	6255	62404	135	61	74	high	keep_now	high	Heavily referenced by state/backlog docs; moving now likely breaks active traces.
doc_reconcile_wave_2026-02-26	16	824	1	0	1	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
fepmp_create_recovery_2026-02-25	79	560	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
headless-2026-02-25	4	1248	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
headless-progress-2026-02-25	1	244	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
headless_live_verify_2026-02-25_controllerdef	133	992	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
headless_menuitem_orphans_wave2_2026-02-25	38	116	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
headless_run_2026-02-25_waveA	2	252	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
iscript_owner_correction_2026-02-26	14	848	1	0	1	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
menuitem_misassigned_2026-02-25	65	288	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
menuitem_vfunc_deep_2026-02-25	81	148	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
mesh_owner_followup_2026-02-25	3	16	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
options_entries_callers_deeppass_2026-02-25	106	1980	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
orphan_root_artifacts_20260227_031111	3	0	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
owner_mixed_strict_correction_2026-02-26	39	3520	4	1	3	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
owner_scout_2026-02-26	19	1464	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
program_2026-03-01	5	20	0	0	0	low	keep_infra	low	Operational scratch infra/history container; keep in place.
wave217_comment_pass1	13	64	4	2	2	medium	keep_now	high	Wave217 signature/comment verification artifacts still referenced in state/backlog.
wave217_signature_pass1	21	80	4	2	2	medium	keep_now	high	Wave217 signature/comment verification artifacts still referenced in state/backlog.
wave217_signature_pass2	19	24	4	2	2	medium	keep_now	high	Wave217 signature/comment verification artifacts still referenced in state/backlog.
wave217_signature_pass2_prep	68	200	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
wave217_signature_pass3	23	56	4	2	2	medium	keep_now	high	Wave217 signature/comment verification artifacts still referenced in state/backlog.
wave217_signature_pass3_prep	134	392	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
wave217_signature_pass4	81	232	4	2	2	medium	keep_now	high	Wave217 signature/comment verification artifacts still referenced in state/backlog.
