# bea.source-crosswalk.remediation-wave1.v1
# Parent audit: t_a103d4a7 commit 906452399d8fda9c1549859a66492ab72761a8f3
# Applied batch: 2 plus semantic correction t_497a7f9f (cumulative/final)
# Baseline: 1,783 AST definitions; 1,164 crosswalk rows; 1,149 valid joins; 15 non-function extras; 634 omitted definitions.
# Wave 1 does not add the 634 omitted definitions; they remain the named subsystem-expansion backlog.
# authority_targets are existing read-only authorities; analogy_boundary states the exact ceiling of each decision. The 24 original unsupported-analog downgrades carry a COLD_REAUDIT disposition after promoted-table, exact-note, and bounded-owner-alias review.
source_file	source_function	src_line	source_anchor	before_classification	before_va	action	after_classification	after_va	retail_name	evidence_status	authority_targets	analogy_boundary	raw_finding_codes	audit_disposition
actor.cpp	CActor::StickToGround	362	actor.cpp:362	SOURCE_ANALOG	0x00402030	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00402030	CActor__StickToGround	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00402030 to CActor__StickToGround; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
Array.h	operator_subscript	103	Array.h:103	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 103,117; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
Array.h	operator_subscript	117	Array.h:117	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 103,117; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngine.cpp	CBattleEngine::~dtor	356	BattleEngine.cpp:356	SOURCE_ANALOG	0x00405f60	STRENGTHEN_COMPILER_WRAPPER_ANALOG	SOURCE_ANALOG	0x00405f60	CBattleEngine__scalar_deleting_dtor	COMPILER_WRAPPER_ANALOG	reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The promoted CBattleEngine semantics explicitly identifies 0x00405f60 as the MSVC scalar-deleting wrapper around CBattleEngine::~CBattleEngine. The analogy stops at compiler-wrapper ownership and does not claim source-body or allocator-ABI equality.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE;COLD_REAUDIT_CORRECTED
BattleEngine.cpp	CBattleEngine::HandleLocks	586	BattleEngine.cpp:586	SOURCE_ANALOG	0x00406560	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00406560	CBattleEngine__HandleLocks	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00406560 to CBattleEngine__HandleLocks; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::StartLock	801	BattleEngine.cpp:801	SOURCE_ANALOG	0x00406fc0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00406fc0	CBattleEngine__StartLock	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00406fc0 to CBattleEngine__StartLock; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::DisplayLock	980	BattleEngine.cpp:980	SOURCE_ANALOG	0x00407310	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00407310	CBattleEngine__DisplayLock	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00407310 to CBattleEngine__DisplayLock; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::Rearm	2256	BattleEngine.cpp:2256	SOURCE_ANALOG	0x0040ac50	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040ac50	CBattleEngine__Rearm	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040ac50 to CBattleEngine__Rearm; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::StartDieProcess	2617	BattleEngine.cpp:2617	SOURCE_ANALOG	0x0040bfd0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040bfd0	CBattleEngine__StartDieProcess	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040bfd0 to CBattleEngine__StartDieProcess; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::UpdateConfiguration	2906	BattleEngine.cpp:2906	SOURCE_ANALOG	0x0040c650	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040c650	CBattleEngine__UpdateConfiguration	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040c650 to CBattleEngine__UpdateConfiguration; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::GetLaunchPosition	3000	BattleEngine.cpp:3000	SOURCE_ANALOG	0x0040c990	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040c990	CBattleEngine__GetLaunchPosition	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040c990 to CBattleEngine__GetLaunchPosition; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::HandleCloak	3096	BattleEngine.cpp:3096	SOURCE_ANALOG	0x0040d4d0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040d4d0	CBattleEngine__HandleCloak	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040d4d0 to CBattleEngine__HandleCloak; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CLockInfo::GetLockPercentage	3142	BattleEngine.cpp:3142	SOURCE_ANALOG	0x0040d5b0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040d5b0	CLockInfo__GetLockPercentage	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040d5b0 to CLockInfo__GetLockPercentage; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::PlayHudSample	3161	BattleEngine.cpp:3161	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 3161,3180; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngine.cpp	CBattleEngine::PlayHudSample	3180	BattleEngine.cpp:3180	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 3161,3180; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngine.cpp	CBattleEngine::GetInterpolatedEulerOrientation	3187	BattleEngine.cpp:3187	SOURCE_ANALOG	0x0040d660	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040d660	CBattleEngine__GetInterpolatedEulerOrientation	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040d660 to CBattleEngine__GetInterpolatedEulerOrientation; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::GetInterpolatedAutoAimPos	3199	BattleEngine.cpp:3199	SOURCE_ANALOG	0x0040d7c0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040d7c0	CBattleEngine__GetInterpolatedAutoAimPos	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040d7c0 to CBattleEngine__GetInterpolatedAutoAimPos; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::HostileEnvironment	3269	BattleEngine.cpp:3269	SOURCE_ANALOG	0x0040dce0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040dce0	CBattleEngine__HostileEnvironment	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040dce0 to CBattleEngine__HostileEnvironment; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngine.cpp	CBattleEngine::AugmentWeapon	3302	BattleEngine.cpp:3302	SOURCE_ANALOG	0x0040de40	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040de40	CBattleEngine__AugmentWeapon	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040de40 to CBattleEngine__AugmentWeapon; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngineDataManager.cpp	CBattleEngineData::CBattleEngineData	14	BattleEngineDataManager.cpp:14	SOURCE_ANALOG	0x0040f520	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040f520	CBattleEngineData__ctor	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure use the conventional __ctor projection for this same source owner; the analogy is limited to constructor identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngineDataManager.cpp	CBattleEngineData::Initialise	30	BattleEngineDataManager.cpp:30	SOURCE_ANALOG	0x0040f590	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040f590	CBattleEngineData__Initialise	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040f590 to CBattleEngineData__Initialise; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngineDataManager.cpp	CBattleEngineData::Shutdown	101	BattleEngineDataManager.cpp:101	SOURCE_ANALOG	0x0040f890	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x0040f890	CBattleEngineData__Shutdown	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x0040f890 to CBattleEngineData__Shutdown; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngineDataManager.cpp	CBattleEngineData::Load	148	BattleEngineDataManager.cpp:148	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 148,588; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngineDataManager.cpp	CBattleEngineData::Load	588	BattleEngineDataManager.cpp:588	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 148,588; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngineDataManager.h	GetConfiguration	272	BattleEngineDataManager.h:272	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 272,289,418; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngineDataManager.h	GetConfiguration	289	BattleEngineDataManager.h:289	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 272,289,418; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngineDataManager.h	Load	301	BattleEngineDataManager.h:301	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 301,338; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngineDataManager.h	Load	338	BattleEngineDataManager.h:338	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 301,338; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngineDataManager.h	GetConfiguration	418	BattleEngineDataManager.h:418	NO_MATCH_FOUND		RETAIN_LINE_DISAMBIGUATED_SOURCE_IDENTITY	NO_MATCH_FOUND			LINE_AND_SIGNATURE_DISTINCT	pinned references/Onslaught AST inventory	Same file/function label occurs at source lines 272,289,418; source line and AST signature remain the identity, and no overload or conditional branch is collapsed.	SOURCE_NAME_AMBIGUOUS	SOURCE_NAME_AMBIGUITY_INFORMATIONAL
BattleEngineJetPart.cpp	CBattleEngineJetPart::HandleGroundEffect	546	BattleEngineJetPart.cpp:546	SOURCE_ANALOG	0x00411630	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00411630	CBattleEngineJetPart__HandleGroundEffect	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00411630 to CBattleEngineJetPart__HandleGroundEffect; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
BattleEngineJetPart.cpp	CBattleEngineJetPart::GetFriction	609	BattleEngineJetPart.cpp:609	SOURCE_ANALOG	0x00411aa0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00411aa0	CBattleEngineJetPart__GetFriction	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00411aa0 to CBattleEngineJetPart__GetFriction; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
